ImageInput,Augmentation,Scheduler,CriterionWeight,OptimizerType,OptimizerLR,LossFunction,Model,Fold,Accuracy,Precision,Recall,F1,AUC,Uncertainty,num_epochs_trained,Acc_class_0,Acc_class_1
224,none,reduce_on_plateau,None,Adam,0.01,CEL,D169,2,0.8402203856749312,0.7508928571428571,0.7039187227866474,0.7223773434383726,0.856769302738428,0.3069015102025449,50,0.9288164665523156,0.479020979020979
224,none,reduce_on_plateau,None,Adam,0.01,CEL,D169,3,0.8505509641873278,0.777204577443241,0.7037537933764348,0.7296490750886129,0.8695858172702084,0.31235582428285025,44,0.9459691252144082,0.46153846153846156
224,none,reduce_on_plateau,None,Adam,0.01,CEL,D169,4,0.8650137741046832,0.79972640625697,0.741786515371421,0.7647222222222223,0.8987243459799207,0.2607953166106722,32,0.9451114922813036,0.5384615384615384
224,none,reduce_on_plateau,None,Adam,0.01,CEL,D169,5,0.8505509641873278,0.7683508452944982,0.7301424990104235,0.7462157976002441,0.8795235639146446,0.2533712643694279,30,0.9288164665523156,0.5314685314685315
224,none,reduce_on_plateau,None,Adam,0.01,CEL,Vit,1,0.803030303030303,0.4015151515151515,0.5,0.44537815126050423,0.5400148736340846,0.4305919993871258,14,1.0,0.0
224,none,reduce_on_plateau,None,Adam,0.01,CEL,Vit,2,0.803030303030303,0.4015151515151515,0.5,0.44537815126050423,,,7,1.0,0.0
224,none,reduce_on_plateau,None,Adam,0.01,CEL,Vit,3,0.803030303030303,0.4015151515151515,0.5,0.44537815126050423,,,7,1.0,0.0
224,none,reduce_on_plateau,None,Adam,0.01,CEL,Vit,4,0.803030303030303,0.4015151515151515,0.5,0.44537815126050423,,,7,1.0,0.0
224,none,reduce_on_plateau,None,Adam,0.01,CEL,Vit,5,0.803030303030303,0.4015151515151515,0.5,0.44537815126050423,,,7,1.0,0.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,R18,1,0.19696969696969696,0.09848484848484848,0.5,0.16455696202531644,0.5,8.576927071586104e-15,50,0.0,1.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,R18,2,0.803030303030303,0.4015151515151515,0.5,0.44537815126050423,0.45610178843454996,4.3949011437844086e-17,50,1.0,0.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,R18,3,0.803030303030303,0.4015151515151515,0.5,0.44537815126050423,0.5168647818733583,1.3243264180949718e-18,50,1.0,0.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,R18,4,0.803030303030303,0.4015151515151515,0.5,0.44537815126050423,0.4836210102076311,2.578525238886532e-22,50,1.0,0.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,R18,5,0.19696969696969696,0.09848484848484848,0.5,0.16455696202531644,0.5,1.2622149189601152e-15,50,0.0,1.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,R34,1,0.19696969696969696,0.09848484848484848,0.5,0.16455696202531644,0.5,5.528888312373765e-18,50,0.0,1.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,R34,2,0.19696969696969696,0.09848484848484848,0.5,0.16455696202531644,0.5,5.733184542356501e-16,50,0.0,1.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,R34,3,0.19696969696969696,0.09848484848484848,0.5,0.16455696202531644,0.5,1.77906792319103e-13,50,0.0,1.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,R34,4,0.803030303030303,0.4015151515151515,0.5,0.44537815126050423,0.49548693159327806,1.0799045663038903e-10,50,1.0,0.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,R34,5,0.19696969696969696,0.09848484848484848,0.5,0.16455696202531644,0.5,5.01881398896278e-36,50,0.0,1.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,R50,1,0.19696969696969696,0.09848484848484848,0.5,0.16455696202531644,0.5,0.0,50,0.0,1.0
224,none,reduce_on_plateau,None,Adam,0.01,RCEL,R50,2,0.803030303030303,0.4015151515151515,0.5,0.44537815126050423,0.5548390288956326,8.781737151556761e-32,50,1.0,0.0
