ImageInput,Model,Fold,Accuracy,Precision,Recall,F1,AUC,Uncertainty,num_epochs_trained,Acc_class_0,Acc_class_1
384,R152,1,0.9318181818181818,0.8949710786605432,0.8876170998812508,0.8912264904069889,0.9635386054768558,0.03509115510767182,22,0.9605488850771869,0.8146853146853147
384,R152,2,0.9338842975206612,0.9071050593701601,0.8783480670273123,0.8917316779912199,0.9635985798078421,0.0372768737835758,22,0.9699828473413379,0.7867132867132867
384,R152,3,0.9393939393939394,0.9133246269129822,0.8910146457316268,0.9015823720792664,0.9623900970384677,0.04184683437140616,19,0.9708404802744426,0.8111888111888111
384,R152,4,0.940771349862259,0.910751257024549,0.899788890354928,0.9051271687367612,0.9722918590843119,0.04440822966021518,18,0.967409948542024,0.8321678321678322
384,R152,5,0.9380165289256198,0.9036733951627569,0.8993930597704183,0.9015109492571869,0.9678177739927312,0.03696483130981498,19,0.9631217838765008,0.8356643356643356
384,D121,1,0.9387052341597796,0.9126814070671265,0.8892663939833751,0.9003257223469595,0.9663633964663124,0.05799166002921501,13,0.9708404802744426,0.8076923076923077
384,D121,2,0.9366391184573003,0.9107447559176343,0.8840216387386199,0.8965337761639796,0.971830056735717,0.052730120611277326,11,0.9708404802744426,0.7972027972027972
384,D121,3,0.9393939393939394,0.9154018859452178,0.888375775168228,0.9010323076351108,0.964732094663484,0.04107283600967104,18,0.9725557461406518,0.8041958041958042
384,D121,4,0.9352617079889807,0.9026867262339979,0.8897611822140123,0.8960202340321795,0.9661714786071561,0.044163081136484046,19,0.9648370497427101,0.8146853146853147
384,D121,5,0.9263085399449036,0.8846028286687604,0.8815476975854335,0.8830631898631282,0.9610586668905708,0.046603405132672936,12,0.9554030874785592,0.8076923076923077
384,D169,1,0.9359504132231405,0.9122201781091773,0.8796345164269692,0.8946695964112968,0.9597182405930261,0.04749576605367534,10,0.9725557461406518,0.7867132867132867
