ImageInput,Augmentation,Scheduler,CriterionWeight,OptimizerType,OptimizerLR,LossFunction,Model,Fold,Accuracy,Precision,Recall,F1,AUC,Uncertainty,num_epochs_trained
224,mixup,reduce_on_plateau,equal_weight,Adam,0.0001,FL,R101,2,0.9201101928374655,0.8627450980392157,0.9027576197387519,0.8804945054945055,0.9643872422603125,0.2806189207640106,18
224,mixup,reduce_on_plateau,equal_weight,Adam,0.0001,FL,R101,3,0.9201101928374655,0.8634942082838432,0.900118749175353,0.8799233480477706,0.9592984202761219,0.2328699758133586,17
224,mixup,reduce_on_plateau,equal_weight,Adam,0.0001,FL,R101,4,0.9159779614325069,0.8555926189540332,0.9015041562211373,0.8754892037786774,0.9608967361969077,0.2545512541803904,14
224,mixup,reduce_on_plateau,equal_weight,Adam,0.0001,FL,R101,5,0.9104683195592287,0.8458644304108915,0.904670800897216,0.8700182618970889,0.9609027336300063,0.2897731481958569,12
224,mixup,reduce_on_plateau,equal_weight,Adam,0.0001,FL,D121,1,0.8994490358126722,0.8308549426531717,0.8885736904604828,0.8543450777771671,0.9589415730067532,0.32065211172801233,10
224,mixup,reduce_on_plateau,equal_weight,Adam,0.0001,FL,D121,2,0.9146005509641874,0.8536644959790933,0.8993270880063333,0.8734480431848853,0.9625400328659334,0.2048524074670171,16
224,mixup,reduce_on_plateau,equal_weight,Adam,0.0001,FL,D121,3,0.90633608815427,0.8410013743128436,0.8928618551260061,0.8627885323587043,0.9609027336300063,0.28936922688033684,11
224,mixup,reduce_on_plateau,equal_weight,Adam,0.0001,FL,D121,4,0.9214876033057852,0.8620713083653012,0.9154901702071514,0.8847220984132644,0.9699528601758448,0.28009935233046807,12
224,mixup,reduce_on_plateau,equal_weight,Adam,0.0001,FL,D121,5,0.9159779614325069,0.8572064056939501,0.8949069798126401,0.8740139112128928,0.9589505691564011,0.23127255567250984,14
224,mixup,reduce_on_plateau,equal_weight,Adam,0.0001,FL,Vit,1,0.890495867768595,0.8348272642390289,0.8064718300567357,0.8194062342819015,0.9309005745540908,0.14504061296692536,8
224,mixup,reduce_on_plateau,equal_weight,Adam,0.0001,FL,Vit,2,0.8932506887052342,0.8376955518882037,0.8147842723314421,0.8254373180669197,0.9247442094783432,0.11415647614792727,8
224,mixup,reduce_on_plateau,equal_weight,Adam,0.0001,FL,Vit,3,0.8960055096418733,0.8530122136275776,0.8006663148172581,0.8228717538565942,0.9172384219554031,0.17410673240696894,10
224,mixup,reduce_on_plateau,equal_weight,Adam,0.0001,FL,Vit,4,0.8953168044077136,0.840887805503881,0.818709592294498,0.8290558040970096,0.9213706533603618,0.15735431498841326,9
224,mixup,reduce_on_plateau,equal_weight,Adam,0.0001,FL,Vit,5,0.8973829201101928,0.843440733734959,0.8239543475392532,0.8331295801089547,0.9211817342177548,0.13042690705018112,10
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,R18,1,0.9201101928374655,0.8689893463864095,0.8842855257949598,0.8763173663247683,0.9557389437320827,0.15115680849233296,10
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,R18,2,0.9263085399449036,0.87989417989418,0.8907837445573294,0.885182866851471,0.9523174081493121,0.1299985672785892,12
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,R18,3,0.9173553719008265,0.8648085228908724,0.8799313893653516,0.8720524479221741,0.9537477959433363,0.13736675054002564,11
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,R18,4,0.9159779614325069,0.865992047005757,0.869837709460351,0.8678944730813287,0.958173901570128,0.11685688329066833,16
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,R18,5,0.9159779614325069,0.8583026438740176,0.8909486739675418,0.8731031083807079,0.9545844378605957,0.13271429122514108,15
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,R34,1,0.9152892561983471,0.8652081033718428,0.8680894577120992,0.8666372953497489,0.9503712411088054,0.12052407016027768,11
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,R34,2,0.9269972451790633,0.890017447657029,0.8753793376434886,0.8824262757931597,0.9564286485384255,0.09736479069678702,16
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,R34,3,0.9159779614325069,0.8642920602263162,0.8737960153054493,0.8689185469334115,0.9557569360313786,0.12504199623585446,14
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,R34,4,0.9166666666666666,0.8712573930409402,0.8623499142367067,0.8666963079189944,0.9556909642672937,0.10722569325293706,11
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,R34,5,0.9152892561983471,0.8574952279431816,0.8892004222192902,0.8719079897208522,0.958221881034917,0.12339402420117847,14
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,R50,1,0.9228650137741047,0.87550667935568,0.8833619210977701,0.8793518903199002,0.9638264822655903,0.10230723049745967,15
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,R50,2,0.9180440771349863,0.8701484948632442,0.8711241588600079,0.8706350329386978,0.9567585073588505,0.08118667219366629,15
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,R50,3,0.9249311294765841,0.8862185312566992,0.8727734529621322,0.8792635341056029,0.9590105434873873,0.0820712178704525,18
224,mixup,reduce_on_plateau,equal_weight,AdamW,0.0001,CEL,R50,4,0.9111570247933884,0.8514960707999703,0.8826692175748779,0.8656595989755278,0.9551451978553179,0.09937283587499278,12
