ImageInput,Augmentation,Scheduler,CriterionWeight,OptimizerType,OptimizerLR,LossFunction,Model,Accuracy_mean,Accuracy_std,Accuracy_var,Precision_mean,Precision_std,Precision_var,Recall_mean,Recall_std,Recall_var,F1_mean,F1_std,F1_var,AUC_mean,AUC_std,AUC_var,Uncertainty_mean,Uncertainty_std,Uncertainty_var,Acc_class_0_mean,Acc_class_1_mean
224,none,cosine_warm_up,weight10,AdamW,0.0001,TotalCrossEntropyLoss,Resnet101,0.8662534435261708,0.005603538734657846,3.139964635081085e-05,0.7989818632936948,0.011150263493186681,0.00012432837596749167,0.7544333025465102,0.025685981595413285,0.0006597696505199099,0.7718413328393081,0.01797435096879987,0.0003230772927495968,0.8697483477071813,0.007197856725048552,5.180914143432667e-05,0.09279918924644016,0.017854514554422753,0.0003187836899740939,0.9389365351629502,0.5699300699300699
224,none,cosine_warm_up,weight10,AdamW,0.0001,TotalCrossEntropyLoss,Resnet152,0.8690082644628099,0.010618128442677304,0.00011274465162519273,0.8037828059464932,0.023623840637750144,0.0005580858464778152,0.7640651801029159,0.016533506650692812,0.0002733568421685035,0.7797527248895657,0.012153912717417717,0.0001477175943426081,0.8624164857441017,0.008769725182147184,7.690807977038644e-05,0.09318528271491963,0.029879174720967225,0.0008927650820060868,0.9372212692967409,0.5909090909090908
224,none,cosine_warm_up,weight10,AdamW,0.0001,TotalCrossEntropyLoss,Densenet121,0.856749311294766,0.007746020577962811,6.000083479422331e-05,0.7733834642667056,0.01226012844097582,0.0001503107493892242,0.7894181290407706,0.011558174933056222,0.0001335914077831292,0.7804103756310876,0.008728176656299182,7.618106774356597e-05,0.8825690604421308,0.006297976073299659,3.966450261985499e-05,0.15419132360128476,0.015589651906512599,0.00024303724656623193,0.9005145797598628,0.6783216783216783
224,none,cosine_warm_up,weight10,AdamW,0.0001,TotalCrossEntropyLoss,Densenet169,0.8550964187327823,0.010653804741240924,0.00011350355546448758,0.7714203120094437,0.01764548881132538,0.00031136327539060913,0.7701807626335928,0.016183456653905377,0.0002619042692688342,0.7705979790572993,0.01607782096457796,0.0002584963269690225,0.876417793184517,0.010904790140084717,0.00011891444799928888,0.1315968100681949,0.011997540680633011,0.00014394098238344402,0.9102915951972556,0.6300699300699301
224,none,cosine_warm_up,weight10,AdamW,0.0001,TotalCrossEntropyLoss,Vision,0.803030303030303,0.0,0.0,0.4015151515151515,0.0,0.0,0.5,0.0,0.0,0.44537815126050423,0.0,0.0,,,,,,,1.0,0.0
224,none,cosine_warm_up,weight10,AdamW,0.0001,FocalLoss,Resnet18,0.7387052341597797,0.03561212122916943,0.0012682231784410599,0.6911510116929637,0.019319129801370367,0.00037322877628219664,0.7898073624488718,0.02081856587633364,0.0004334126851472434,0.6910160716111065,0.031359031663524085,0.000983388866873906,0.8824335184541017,0.014784117766144043,0.00021857013812321595,0.4876005742038275,0.005231678074599707,2.7370455476247295e-05,0.7054888507718697,0.8741258741258742
224,none,cosine_warm_up,weight10,AdamW,0.0001,FocalLoss,Resnet34,0.7727272727272727,0.020649675414001308,0.0004264090947036101,0.6961371530459461,0.010397769370095657,0.00010811360787369941,0.7756300303470114,0.0012906714306975943,1.665832742018975e-06,0.7100675467922957,0.014800959193175756,0.0002190683930380539,0.865926183593422,0.006316566538567559,3.989901283615135e-05,0.46235502142033846,0.03743556350986499,0.001401421415301135,0.7708404802744425,0.7804195804195804
224,none,cosine_warm_up,weight10,AdamW,0.0001,FocalLoss,Resnet50,0.7961432506887053,0.023687856090798688,0.0005611145261783885,0.71431330932843,0.01127717365578389,0.0001271746456627062,0.788626467871751,0.00542484897455447,2.942898639672468e-05,0.7317877665991428,0.01687971128386949,0.000284924653026791,0.8747556046012306,0.008870467127835223,7.868518706600526e-05,0.43823663277745883,0.02562720908281309,0.0006567538453742178,0.8010291595197255,0.7762237762237763
224,none,cosine_warm_up,weight10,AdamW,0.0001,FocalLoss,Resnet101,0.8342975206611569,0.008773899258507481,7.698130819843812e-05,0.7436479876323311,0.008532762670577473,7.28080387924004e-05,0.7838830980340414,0.004771074603409227,2.2763152871296512e-05,0.7592964421002961,0.005285374251881996,2.7935180982457166e-05,0.8660719212177188,0.003932861854958896,1.546740237019073e-05,0.3959665975441283,0.033037553787934826,0.0010914799602906866,0.8670668953687821,0.7006993006993008
224,none,cosine_warm_up,weight10,AdamW,0.0001,FocalLoss,Resnet152,0.8450413223140496,0.011337519031098026,0.0001285393377805099,0.757420947334602,0.014601702980644444,0.00021320972993496085,0.7932115054756563,0.017470657213188908,0.00030522386346074965,0.7718367160177939,0.013957331340935946,0.0001948070981606728,0.8720993414818459,0.009280340121418016,8.612471276920095e-05,0.3684884916992357,0.01956803627850936,0.0003829080437970583,0.8787307032590052,0.7076923076923076
