Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,scanner_Accuracy,scanner_Precision,scanner_Recall,scanner_F1,scanner_AUC,scanner_Uncertainty,num_epochs_trained
p2,4,0.8715538847117794,0.8419070341423283,0.7443462432150215,0.7777078731688825,0.8864874272114092,0.04078129349409854,0.9993734335839599,0.9946236559139785,0.9995383194829178,0.9970589726687287,0.9999994717614221,0.00048323500412372934,19
p2,5,0.8759398496240601,0.8315247065247064,0.7741742786991657,0.7973242345335368,0.8875151691893775,0.033473680118815394,1.0,1.0,1.0,1.0,1.0,0.0005141480046847932,25
p3,1,0.8759398496240601,0.8553024872526611,0.747128437173686,0.7831521739130435,0.8893119537915919,0.03724261827325087,1.0,1.0,1.0,1.0,1.0,0.00019417325731406842,21
p3,2,0.8740601503759399,0.8277802191571099,0.7719000761987187,0.7945152568559288,0.9035216037478481,0.036327833465131,0.9987468671679198,0.9894179894179894,0.9990766389658358,0.9941613350633082,0.9999948553618726,0.0005496899212267031,46
p3,3,0.8734335839598998,0.8243957703927492,0.7747481209019671,0.7953092659140837,0.8858547897009434,0.04428862625992547,1.0,1.0,1.0,1.0,1.0,0.00011223307577482944,24
p3,4,0.8790726817042607,0.8275316249560312,0.7956345659965569,0.8098412998264651,0.8932629984666184,0.042061410329086765,1.0,1.0,1.0,1.0,1.0,0.00021120240291002396,21
p3,5,0.868421052631579,0.8185392036806024,0.7618319677143206,0.7844907407407408,0.8897117618837076,0.03964891307510274,0.9987468671679198,0.9941260187161826,0.9940738386086009,0.994099642844693,0.9999438222235536,0.0011948203400951837,26
p4,1,0.8822055137844611,0.8515435541759627,0.7727396731921619,0.8024726468380929,0.9038249875353948,0.03911354755356556,0.9993734335839599,0.9995389580451821,0.9945355191256832,0.9970144985558638,1.0,0.00029118812669744074,28
p4,2,0.8853383458646616,0.8541965965135739,0.7812179565573231,0.8095002044787032,0.8989379215623559,0.03820815881194382,0.9993734335839599,0.9995389580451821,0.9945355191256832,0.9970144985558638,1.0,0.0008267432197915179,24
p4,3,0.8652882205513784,0.821615856782258,0.7436171813999868,0.7719659085245303,0.876252340053245,0.04405242445679722,1.0,1.0,1.0,1.0,1.0,0.0006537083054106584,22
p4,4,0.8677944862155389,0.8292041292041292,0.7441251728582046,0.7743658738736083,0.8818731714659318,0.034504951730692186,1.0,1.0,1.0,1.0,1.0,0.000678222165984751,27
p4,5,0.87468671679198,0.8314040393506448,0.7690520314954704,0.7936939638680055,0.8898387597482619,0.04170333691146196,0.9993734335839599,0.9946236559139785,0.9995383194829178,0.9970589726687287,1.0,0.000290746592128029,21
