Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,scanner_Accuracy,scanner_Precision,scanner_Recall,scanner_F1,scanner_AUC,scanner_Uncertainty,num_epochs_trained
n_5,1,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.560260486731075,0.5266032147423939,0.0,0.0,0.0,0.0,0.24474230799107136,2.283596338502773e-37,0.011278195488721804,0.010221465076660987,0.09836065573770492,0.018518518518518517,0.309214971423233,5.71624175878597e-64,17
n_5,2,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.4862348425696842,0.5105577108824281,0.0,0.0,0.0,0.0,0.14419353549289074,4.507289806188887e-34,0.0,0.0,0.0,0.0,0.12990911872209815,1.3934946991315525e-68,23
n_5,3,0.7863408521303258,0.49409176618478945,0.4998894648215915,0.4430698920494839,0.5077797951101118,0.5987621572334239,0.0,0.0,0.0,0.0,0.24883896421767443,0.0004266729307421794,0.011278195488721804,0.008982035928143712,0.09836065573770492,0.016460905349794237,0.21350101653211082,1.8758759281157277e-82,40
n_5,4,0.7875939849624061,0.3940438871473354,0.4996025437201908,0.4405888538380652,0.5266695515564294,0.5784559666334269,0.046365914786967416,0.015893470790378006,0.060064935064935064,0.025135869565217392,0.2920548146684026,4.6438780780545916e-110,0.006265664160401002,0.00315357931251971,0.0546448087431694,0.005963029218843172,0.20096136041139276,6.342432110352531e-05,29
n_5,5,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5137416393072501,0.4924740340631336,0.0,0.0,0.0,0.0,0.24738312842837257,9.478579706542124e-43,0.0,0.0,0.0,0.0,0.13435776870066765,6.67748118850814e-71,17
n1,1,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.4997460042708911,0.4754781297092593,0.002506265664160401,0.000999000999000999,0.002304147465437788,0.0013937282229965157,0.22626886516702543,0.0008373074931663813,0.009398496240601503,0.008375209380234507,0.08196721311475409,0.015197568389057751,0.2987314539156952,0.0009803183117626359,16
n1,2,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.505284522252848,0.5364768608133489,0.0,0.0,0.0,0.0,0.2803319221059002,0.00022440319507973912,0.011278195488721804,0.005623242736644799,0.09836065573770492,0.010638297872340425,0.31155385217330306,6.018329051167695e-144,34
n1,3,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.4934125737293158,0.49683863342143864,0.046365914786967416,0.023596938775510203,0.060064935064935064,0.03388278388278388,0.29667465793286985,0.00010699953031678522,0.0006265664160401002,0.00042517006802721087,0.00041000410004100044,0.0004174493842621582,0.1219794186184086,1.345191974049625e-11,16
n1,4,0.7875939849624061,0.3940438871473354,0.4996025437201908,0.4405888538380652,0.47358444417267953,0.5518379904162377,0.0,0.0,0.0,0.0,0.33098637927934227,0.00010522825201398348,0.0006265664160401002,0.0004597701149425287,0.00546448087431694,0.0008481764206955048,0.3080672909818544,1.5776518202440667e-35,34
n1,5,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5255148117139068,0.5512939884707108,0.0,0.0,0.0,0.0,0.21859561821511136,6.143646601407531e-05,0.011278195488721804,0.010238907849829351,0.09836065573770492,0.01854714064914992,0.2834261614240927,1.68704298454258e-79,24
n1_5,1,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5383745214061956,0.5701398704385243,0.0018796992481203006,0.0007411067193675889,0.0017281105990783411,0.001037344398340249,0.2778100728258427,5.137112907827386e-21,0.011278195488721804,0.010238907849829351,0.09836065573770492,0.01854714064914992,0.3285491286319739,0.000360058155251055,37
n1_5,2,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.46766258078475276,0.4590486441896904,0.0,0.0,0.0,0.0,0.17816913100462312,0.00043656691192291467,0.005012531328320802,0.003256003256003256,0.04371584699453552,0.006060606060606061,0.2512561905620019,0.00011623731343923856,17
n1_5,3,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.4590267259950518,0.5282196848250205,0.002506265664160401,0.001072961373390558,0.002304147465437788,0.0014641288433382138,0.2322446713799516,0.002339264095340839,0.14160401002506265,0.11448834853090173,0.10433979686057249,0.10917874396135265,0.2596378224511124,0.003098211010083048,16
n1_5,4,0.7850877192982456,0.5306854029251505,0.5012582195840114,0.4482723867096281,0.48809277429186937,0.6316270265787021,0.0,0.0,0.0,0.0,0.327825592309504,0.0005779896181175448,0.0006265664160401002,0.000670690811535882,0.00546448087431694,0.0011947431302270011,0.23995347105763676,0.00035966349009456934,46
n1_5,5,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.4958866802758205,0.6034851126942276,0.0,0.0,0.0,0.0,0.32319265726171736,0.0006013476255657747,0.011278195488721804,0.011235955056179775,0.09836065573770492,0.020168067226890758,0.27791949798905363,9.677220309615398e-05,50
n2,1,0.7888471177944862,0.89435736677116,0.5014792899408284,0.4438892145823834,0.535980376478114,0.5665921422609109,0.0006265664160401002,0.0002332089552238806,0.000576036866359447,0.00033200531208499334,0.31731882448090454,0.0006705328662288851,0.011278195488721804,0.011406844106463879,0.09836065573770492,0.020442930153321975,0.2788593886118351,0.00035344760143071426,45
n2,2,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.4826577360514012,0.5144003955842674,0.0,0.0,0.0,0.0,0.20408486110535778,0.0004553439971812586,0.0,0.0,0.0,0.0,0.1525263469977499,6.678073219087451e-29,19
n2,3,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5571960752956228,0.4637954896796852,0.0,0.0,0.0,0.0,0.2484085284518312,0.0008642920557545714,0.0,0.0,0.0,0.0,0.13385794532847453,0.00040879344253902063,16
n2,4,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.513602882381163,0.5070043275058798,0.046365914786967416,0.015893470790378006,0.060064935064935064,0.025135869565217392,0.2281370869921791,4.17763616123008e-37,0.0,0.0,0.0,0.0,0.20342517350476222,0.0036418191479055772,19
