Model,Scale,Cluster,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,class_Acc_class_0,class_Acc_class_1,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,stain_Acc_class_0,stain_Acc_class_1,stain_Acc_class_2,num_epochs_trained
Resnet18,-0.05,3,2,0.8784461152882206,0.8267500548606539,0.7941552760557286,0.8086283623417722,0.8914121221813529,0.08048255550335881,0.9403815580286169,0.6479289940828402,0.3026315789473684,0.31706197772631284,0.3072962017935878,0.26177093543021773,0.4784558871574489,1.0966315244906768,0.25584255842558423,0.3545706371191136,0.3114754098360656,21
Resnet18,-0.05,3,3,0.87531328320802,0.8244289908740806,0.7835133253685289,0.8010736625723182,0.9042530173751893,0.07166636346552512,0.9427662957074722,0.6242603550295858,0.36528822055137844,0.3669700064661463,0.39987490788127084,0.3170366720503494,0.5606958349547981,1.0964809201207866,0.3419434194341943,0.38227146814404434,0.47540983606557374,18
Resnet18,-0.05,3,4,0.8778195488721805,0.8305397645629141,0.7840213168267467,0.8036287231324002,0.9031170920311192,0.05913608053478979,0.9467408585055644,0.621301775147929,0.34210526315789475,0.3466281210892228,0.37866842748169544,0.2980838524572891,0.5355114195003566,1.097050847510947,0.3210332103321033,0.3559556786703601,0.45901639344262296,15
Resnet18,-0.05,3,5,0.8834586466165414,0.8368374108053007,0.7984167599552214,0.8151945196337458,0.914043612007413,0.06647412343196452,0.9459459459459459,0.650887573964497,0.34962406015037595,0.35486923989364555,0.413605278825596,0.3075449253040649,0.5565043749305422,1.0971074919648338,0.33579335793357934,0.3476454293628809,0.5573770491803278,13
Resnet18,-0.1,3,1,0.87531328320802,0.8212939199312133,0.790004327334644,0.8039296303910184,0.8932912202142972,0.06851157495601133,0.9379968203497615,0.6420118343195266,0.35526315789473684,0.34642142314246294,0.3518454997455837,0.30133520155621035,0.5239385428663699,1.097028153575954,0.35670356703567035,0.3545706371191136,0.3442622950819672,15
Resnet18,-0.1,3,2,0.8740601503759399,0.817405986538329,0.7924549157580831,0.8038174133786206,0.9019035568809324,0.06226849652275415,0.9340222575516693,0.650887573964497,0.3533834586466165,0.36033605478324454,0.37140183513001745,0.30559077212179636,0.5341285465974179,1.0970698893784807,0.33456334563345635,0.3698060941828255,0.4098360655737705,16
Resnet18,-0.1,3,3,0.8796992481203008,0.8233088257005344,0.8090140262085963,0.8158036469954605,0.9082910791055588,0.08121721304269068,0.931637519872814,0.6863905325443787,0.37280701754385964,0.3711355311355311,0.3944792978650462,0.3212078908990957,0.5515680534536761,1.0962912161215692,0.3640836408364084,0.3767313019390582,0.4426229508196721,17
Resnet18,-0.1,3,4,0.8765664160401002,0.8210346535282091,0.7972902418603776,0.8081692146525304,0.8923716616024306,0.07529091787025258,0.9348171701112877,0.6597633136094675,0.35025062656641603,0.3324575530541863,0.31251233610378887,0.29006383713032063,0.4819564749740131,1.0966071794316192,0.3714637146371464,0.3365650969529086,0.22950819672131148,20
Resnet18,-0.1,3,5,0.8859649122807017,0.8423544314668499,0.8000065850744584,0.8182891888848575,0.9159650426618753,0.06513456596919182,0.9491255961844197,0.650887573964497,0.30701754385964913,0.304734140945698,0.31367041475691537,0.26309779430996055,0.48539167320177806,1.0967841621700232,0.3001230012300123,0.31301939058171746,0.32786885245901637,17
Resnet18,-0.2,3,1,0.8803258145363408,0.8296108599643038,0.7975113122171946,0.8118118563049473,0.905574735891478,0.06493886982738586,0.9411764705882353,0.6538461538461539,0.3558897243107769,0.32642843953031714,0.30790209405204716,0.2903109336457414,0.486730616535253,1.096776399771379,0.3419434194341943,0.3850415512465374,0.19672131147540983,22
