Model,rmv_inf_grad,Accuracy_mean,Accuracy_std,Accuracy_var,Precision_mean,Precision_std,Precision_var,Recall_mean,Recall_std,Recall_var,F1_mean,F1_std,F1_var,AUC_mean,AUC_std,AUC_var,Uncertainty_mean,Uncertainty_std,Uncertainty_var,Acc_class_0_mean,Acc_class_1_mean
Densenet121,False,0.9028810835629016,0.006181452317360062,3.8210352751796084e-05,0.8493853527550898,0.011363858369439534,0.00012913727704068093,0.8648033014789729,0.008806715608467814,7.755823980843062e-05,0.8563543580551628,0.007428463320957653,5.518206731081321e-05,0.940350149027087,0.004193129386944727,1.758233405565947e-05,0.05970931571050937,0.010191577335973135,0.00010386824859512126,0.9301566579634464,0.7994499449944994
Densenet169,True,0.9033693579148124,0.00630024507275735,3.9693087976803266e-05,0.8501027730761126,0.011391156813863882,0.00012975845355803756,0.8653890896219568,0.008889763095761493,7.902788789876296e-05,0.8570357462959839,0.007721589065301777,5.9622937693387977e-05,0.9407659584998468,0.004402992634017615,1.9386344135213375e-05,0.059243137577417664,0.00997028690950942,9.940662105793489e-05,0.9305750820111134,0.8002030972328003
Densenet169,False,0.9037485242030696,0.006238073447323193,3.891356033419866e-05,0.8507718842392268,0.011266101722753807,0.0001269250480274363,0.8655191833991307,0.008606816426620464,7.407728900154386e-05,0.8574782224981347,0.007633359473171823,5.826817684666201e-05,0.9408668095455573,0.004469567575277754,1.9977034309974263e-05,0.05868504570925757,0.009908930241844662,9.81868985377437e-05,0.9311326619420616,0.7999057048561999
Densenet201,True,0.9046097337006429,0.0070465607550388885,4.965401847445423e-05,0.8524608683750602,0.013102915221507186,0.0001716863873020047,0.8658550554794383,0.008484759427677395,7.199114254556043e-05,0.8585193490683487,0.008615277216599108,7.422300151885167e-05,0.9410410736460939,0.004544373689886995,2.065133223333714e-05,0.057763100448712544,0.010207754484998735,0.00010419825162601178,0.9323701769654773,0.7993399339933993
Densenet201,False,0.9050964187327823,0.007112129206196752,5.058238184563685e-05,0.8532782319971988,0.01321584389119273,0.00017465852975637622,0.8662840696602296,0.008640952535897209,7.466606072762842e-05,0.8591581285718929,0.008742588891619411,7.643286052786712e-05,0.941310746609909,0.004570453821130256,2.0889048131084163e-05,0.05734700496342567,0.010144506371682196,0.0001029110095251007,0.9328981723237598,0.7996699669966997
efficientnet_b0,True,0.9047723221520011,0.007399586183485661,5.4753875686831894e-05,0.8529350495212984,0.013713095877810527,0.0001880489985540241,0.8655432568291385,0.008981737978507197,8.067161711455854e-05,0.8586128373596764,0.009126893605988355,8.330018689503111e-05,0.9408134393534577,0.004980986403895854,2.481022555579535e-05,0.0574407527208627,0.009974949640980089,9.949962034008882e-05,0.9328725746173142,0.798213939040963
efficientnet_b0,False,0.9043847566574839,0.007419917069931672,5.505516932466341e-05,0.8523463962698761,0.013666292030276759,0.00018676753785680606,0.8649704004342993,0.009227462997010877,8.514607336120496e-05,0.8580369332138815,0.009244193104171997,8.54551061472211e-05,0.9403516330745346,0.005460021529891385,2.981183510687746e-05,0.05745686427403319,0.009772255243164198,9.549697253755015e-05,0.9326177352287013,0.7973230656398974
efficientnet_b1,True,0.9045817021893576,0.007382649197537587,5.450350917390238e-05,0.8527339037600987,0.01359936256674115,0.00018494266222168044,0.8649420775525402,0.009132313540767146,8.339915060687897e-05,0.8582405331210249,0.009203200039048617,8.469889095874447e-05,0.9403163485236803,0.005589245274946336,3.1239662743509944e-05,0.0565334731020454,0.010295482468031388,0.00010599695924954168,0.9329760432412623,0.7969081118638182
efficientnet_b1,False,0.9046280991735537,0.007503941080298025,5.63091317365843e-05,0.8528107364113717,0.013741469970343843,0.0001888279969458616,0.8649918568880386,0.009330536283881648,8.705890734483194e-05,0.8583042559060898,0.009403032233230151,8.84170151791652e-05,0.9405101580654148,0.005639158013252948,3.1800103098434934e-05,0.05591905115111382,0.010606938594006864,0.00011250714633703231,0.9330200174064405,0.796963696369637
efficientnet_b2,True,0.9046307228125409,0.007430541521676534,5.521294730535902e-05,0.8532033181852073,0.013731524545292948,0.0001885547663379827,0.8640400257854955,0.010242048260777282,0.00010489955257609095,0.8580284766399174,0.009442216127566301,8.915544539967317e-05,0.9400046258511218,0.0061591023251175575,3.79345414512685e-05,0.055464913948934345,0.010569926249344136,0.0001117233409165742,0.9337063284843964,0.7943737230865943
