Model,Scale,Cluster,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,class_Acc_class_0,class_Acc_class_1,class_PerStain_0_Accuracy,class_PerStain_0_Precision,class_PerStain_0_Recall,class_PerStain_0_F1,class_PerStain_0_AUC,class_PerStain_0_Uncertainty,class_PerStain_0_Acc_class_0,class_PerStain_0_Acc_class_1,class_PerStain_1_Accuracy,class_PerStain_1_Precision,class_PerStain_1_Recall,class_PerStain_1_F1,class_PerStain_1_AUC,class_PerStain_1_Uncertainty,class_PerStain_1_Acc_class_0,class_PerStain_1_Acc_class_1,class_PerStain_2_Accuracy,class_PerStain_2_Precision,class_PerStain_2_Recall,class_PerStain_2_F1,class_PerStain_2_AUC,class_PerStain_2_Uncertainty,class_PerStain_2_Acc_class_0,class_PerStain_2_Acc_class_1,class_PerStain_3_Accuracy,class_PerStain_3_Precision,class_PerStain_3_Recall,class_PerStain_3_F1,class_PerStain_3_AUC,class_PerStain_3_Uncertainty,class_PerStain_3_Acc_class_0,class_PerStain_3_Acc_class_1,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,stain_Acc_class_0,stain_Acc_class_1,stain_Acc_class_2,num_epochs_trained
efficientnet_b3,0.0,3,3,0.8939393939393939,0.84385513913318,0.8284948599298572,0.8358006415001233,0.9140162057981255,0.05978151287396886,0.9408181026979983,0.7161716171617162,0.9159663865546218,0.8631100082712986,0.8850877192982456,0.873404255319149,0.9284600389863548,0.05200073346646919,0.9368421052631579,0.8333333333333334,0.906060606060606,0.8601253320618487,0.8181872893596533,0.8367770243318708,0.9051516610495907,0.04538074866188059,0.9589552238805971,0.6774193548387096,0.8817204301075269,0.826268969126112,0.820291095890411,0.8232168315548452,0.9150256849315068,0.06665005295292946,0.928082191780822,0.7125,0.8753180661577609,0.8326830483147933,0.7962374334713187,0.8120626555409164,0.905307510348906,0.07244027503451128,0.9407894736842105,0.651685393258427,0.15013774104683195,0.3100835945663532,0.08511347218272741,0.11740217475220771,,1.089356727778035,0.16623150565709313,0.0891089108910891,,10
efficientnet_b3,0.0,3,4,0.9022038567493113,0.8595621783547124,0.8361468000585959,0.8470354323698736,0.924339431332167,0.049610755609236314,0.9495213228894691,0.7227722772277227,0.9187675070028011,0.8845626975763963,0.8557017543859649,0.8690306012726283,0.9518031189083821,0.04327469343131117,0.9614035087719298,0.75,0.906060606060606,0.8866785511708938,0.7871930669234473,0.8244530244530245,0.9253129513721714,0.04232991137710009,0.9776119402985075,0.5967741935483871,0.8978494623655914,0.8506017791732078,0.8441780821917808,0.8473236272519118,0.9106164383561643,0.052839203908430755,0.9383561643835616,0.75,0.8880407124681934,0.8388581617058438,0.8441935245416913,0.8414741474147415,0.9163217031342401,0.058424165346701695,0.9243421052631579,0.7640449438202247,0.35674931129476584,0.31162173003328236,0.18834572752314394,0.2208995415102285,,1.0891887588623144,0.40992167101827676,0.1551155115511551,,11
efficientnet_b3,0.0,3,5,0.8884297520661157,0.8332062181414484,0.825013571853269,0.8289986391076268,0.9202290986278784,0.05538723711109669,0.9338555265448216,0.7161716171617162,0.9047619047619048,0.8521198830409357,0.8521198830409357,0.8521198830409357,0.924317738791423,0.04724223831645431,0.9403508771929825,0.7638888888888888,0.896969696969697,0.8532801418439716,0.7877948964853154,0.8145454545454546,0.944872412132884,0.04572562028016431,0.9626865671641791,0.6129032258064516,0.8844086021505376,0.8295459454788958,0.8265410958904109,0.8280277374616998,0.9038955479452054,0.05219027467781738,0.928082191780822,0.725,0.8702290076335878,0.8126022913256956,0.8247338852749853,0.8183671804909878,0.913771437019515,0.07392506955149089,0.9078947368421053,0.7415730337078652,0.40289256198347106,0.32482931466597526,0.19401287387224364,0.2361733800094171,,1.0824953508378208,0.4830287206266319,0.09900990099009901,,10
efficientnet_b4,0.0,3,1,0.8787878787878788,0.8341720060426108,0.7763961774767556,0.7998119947358526,0.8971267883968553,0.07427249655719717,0.9521322889469104,0.6006600660066007,0.8935574229691877,0.8386678200692042,0.8243421052631579,0.831184668989547,0.9103313840155945,0.05815764319099984,0.9403508771929825,0.7083333333333334,0.8787878787878788,0.820269442743417,0.7518054886856043,0.7785829307568438,0.897267693789119,0.059949342336162614,0.9552238805970149,0.5483870967741935,0.8763440860215054,0.8387820512820513,0.7714897260273973,0.7976348155156102,0.8767123287671234,0.09864603221759648,0.9554794520547946,0.5875,0.8676844783715013,0.8377344877344877,0.759517297457126,0.7879379046986552,0.9075990538143112,0.07786712322133281,0.9572368421052632,0.5617977528089888,0.26239669421487605,0.3738432922576145,0.17047109410679973,0.22722803009609893,,1.0948120365714402,0.26718885987815494,0.24422442244224424,,15
efficientnet_b4,0.0,3,2,0.8753443526170799,0.8172170987038883,0.7924454325328094,0.8037508167341834,0.8893427201728007,0.09259671238905721,0.9347258485639687,0.6501650165016502,0.8907563025210085,0.8312321481335566,0.8277777777777777,0.8294857506766439,0.9005360623781676,0.08196832268149991,0.9333333333333333,0.7222222222222222,0.9,0.8488863156460732,0.80825710158883,0.8262465097726366,0.8993139142994704,0.07883944424084746,0.9552238805970149,0.6612903225806451,0.8494623655913979,0.7810785241248817,0.7543664383561643,0.7661952861952862,0.8754708904109589,0.10411308582303837,0.9212328767123288,0.5875,0.8651399491094147,0.8145909645909646,0.7856852454169131,0.798506379809041,0.8838704908338262,0.10290241899736817,0.930921052631579,0.6404494382022472,0.44696969696969696,0.3368012094492445,0.25145987183574753,0.2689075801078377,,1.0902939145985653,0.4969538729329852,0.25742574257425743,,14
efficientnet_b4,0.0,3,3,0.8712121212121212,0.8127878632368979,0.7801144344199433,0.7945389263243123,0.8946881633333046,0.08981933954039432,0.9364664926022629,0.6237623762376238,0.8823529411764706,0.8223992502343018,0.8017543859649123,0.8113677536231885,0.9100877192982456,0.07021981131733634,0.9368421052631579,0.6666666666666666,0.896969696969697,0.8532801418439716,0.7877948964853154,0.8145454545454546,0.8991935483870968,0.06938082711961464,0.9626865671641791,0.6129032258064516,0.8333333333333334,0.7531539108494534,0.7577054794520548,0.7553773704976454,0.8794520547945205,0.11538987110692409,0.8904109589041096,0.625,0.8753180661577609,0.8464692799555185,0.7763712300413956,0.8031082255508409,0.8908560023654643,0.10058143351428726,0.9572368421052632,0.5955056179775281,0.47796143250688705,0.5486097880069606,0.30177482500208247,0.3893315843604161,,1.087606200594642,0.4960835509138381,0.40924092409240925,,15
efficientnet_b4,0.0,3,4,0.8801652892561983,0.8270477341005547,0.7954915595998242,0.8095878352305614,0.8897735726575268,0.08640710293637248,0.9408181026979983,0.6501650165016502,0.8935574229691877,0.8347222222222223,0.8347222222222223,0.8347222222222223,0.9180799220272905,0.07902953500221922,0.9333333333333333,0.7361111111111112,0.8939393939393939,0.841134303183639,0.7921280693307655,0.8131400559770914,0.9033461723639866,0.0938958517496776,0.9552238805970149,0.6290322580645161,0.8548387096774194,0.7929292929292929,0.7532534246575342,0.7699179914784441,0.8575342465753425,0.08349036649571016,0.9315068493150684,0.575,0.8804071246819338,0.8408392827494604,0.8035001478415138,0.8197335675596545,0.8897471910112359,0.08958148105349312,0.944078947368421,0.6629213483146067,0.13016528925619836,0.12319493681027059,0.17066066920007927,0.0882508954693353,,1.0782683441462177,0.04003481288076589,0.47194719471947194,,14
efficientnet_b4,0.0,3,5,0.8753443526170799,0.818708871673281,0.7888004205120251,0.8021910034133288,0.8900608076473443,0.09985122243380559,0.9373368146214099,0.6402640264026402,0.907563025210084,0.8690476190476191,0.8331140350877193,0.8492803684513529,0.9038011695906433,0.08273900756656231,0.9578947368421052,0.7083333333333334,0.8848484848484849,0.8222191477587161,0.7803322099181511,0.7985347985347986,0.8711482908040443,0.09571675120299916,0.9477611940298507,0.6129032258064516,0.8629032258064516,0.7983931322914374,0.7901541095890411,0.7941383912585858,0.8964897260273972,0.1086550504295865,0.9178082191780822,0.6625,0.8498727735368957,0.7933576209438278,0.7559506209343584,0.7716668800283607,0.8833530455351862,0.110534205129331,0.9276315789473685,0.5842696629213483,0.5730027548209367,0.3294716891731817,0.28510945089287,0.30565718922264884,,1.0953480457165807,0.6771105308964317,0.1782178217821782,,13
efficientnet_b5,0.0,3,1,0.9228650137741047,0.879599614691963,0.8905117665813579,0.8848881753858437,0.9492024920507716,0.013158826495084399,0.9460400348128808,0.834983498349835,0.927170868347339,0.8756984478935699,0.9128654970760234,0.8923701298701299,0.9503898635477582,0.015432231308247687,0.9368421052631579,0.8888888888888888,0.9393939393939394,0.9006981222917669,0.9006981222917669,0.9006981222917669,0.9520943668753009,0.010704114337165251,0.9626865671641791,0.8387096774193549,0.9193548387096774,0.8762400793650794,0.8896404109589041,0.8826745164003365,0.9496575342465754,0.012157643202003342,0.9417808219178082,0.8375,0.9083969465648855,0.8712530989407257,0.8652979006505026,0.8682190760059612,0.9475162625665287,0.014102566135899096,0.944078947368421,0.7865168539325843,0.25757575757575757,0.39948814022502616,0.32963087431458554,0.1747483344936691,,1.0776537156492727,0.08790252393385553,0.900990099009901,,15
efficientnet_b5,0.0,3,2,0.9256198347107438,0.8909292758556717,0.8813173745572991,0.8859990927384178,0.9530428238646319,0.022183012293501603,0.9573542210617929,0.8052805280528053,0.9243697478991597,0.876461038961039,0.8955409356725146,0.885502167844628,0.9556530214424952,0.026721110055656333,0.9438596491228071,0.8472222222222222,0.9363636363636364,0.9109090909090909,0.874037072701011,0.8909193936818246,0.9618440057775638,0.022611446386184373,0.9738805970149254,0.7741935483870968,0.9327956989247311,0.8991345297187221,0.9027397260273973,0.9009194251195892,0.9511558219178082,0.016482318734378557,0.9554794520547946,0.85,0.910941475826972,0.8836062300319489,0.855022915434654,0.8680866571403911,0.9489577173270255,0.02309694067090419,0.9572368421052632,0.7528089887640449,0.19972451790633608,0.178915067587616,0.11329122468382609,0.12243322398606508,,1.079460274590364,0.22106179286335945,0.1188118811881188,,12
efficientnet_b5,0.0,3,3,0.9207988980716253,0.8860337775432114,0.8697662194417876,0.8775388970580147,0.9478208917497494,0.01952163486036106,0.9573542210617929,0.7821782178217822,0.9299719887955182,0.8927656850192062,0.8886695906432749,0.8906959940234896,0.9564814814814815,0.015514517414930354,0.9578947368421052,0.8194444444444444,0.9242424242424242,0.889090909090909,0.8541766971593645,0.8701421353355054,0.9522749157438612,0.022707658138704952,0.9664179104477612,0.7419354838709677,0.9220430107526881,0.8833524245895379,0.8868150684931506,0.8850665331387235,0.945333904109589,0.017078118584994462,0.9486301369863014,0.825,0.9083969465648855,0.8810973151656858,0.8494049379065642,0.8637309292649098,0.9389414547604967,0.02279934809344413,0.9572368421052632,0.7415730337078652,0.40289256198347106,0.25506939986274985,0.19563287921481443,0.21772726192214564,,1.0844924410223062,0.48128807658833767,0.10561056105610561,,13
efficientnet_b5,0.0,3,4,0.9214876033057852,0.8831168831168832,0.8774914044929297,0.8802604166666668,0.9529738874670758,0.021590458378268305,0.9530026109660574,0.801980198019802,0.9215686274509803,0.87568045076879,0.883406432748538,0.8794617017171522,0.9562378167641327,0.030144330895475968,0.9473684210526315,0.8194444444444444,0.9424242424242424,0.9166184692500482,0.8901661049590756,0.9026079932897373,0.9756860857005296,0.012897273869035462,0.9738805970149254,0.8064516129032258,0.9193548387096774,0.8830455259026688,0.876027397260274,0.8794660215146671,0.9501284246575343,0.021855964193425108,0.952054794520548,0.8,0.905852417302799,0.8665797317436661,0.8636531638083974,0.8651025576799978,0.9371673565937314,0.020868448801080935,0.9407894736842105,0.7865168539325843,0.6212121212121212,0.4712453117622866,0.44068741077763124,0.43313389250461753,,1.0817150454014486,0.5926892950391645,0.7293729372937293,,10
efficientnet_b5,0.0,3,5,0.9263085399449036,0.8964084378977996,0.875677515532232,0.8854767196293716,0.9437565166438315,0.023616008675079604,0.9625761531766753,0.7887788778877888,0.9159663865546218,0.8721254355400697,0.8643274853801169,0.8681424209593224,0.9535575048732944,0.029137394411980707,0.9508771929824561,0.7777777777777778,0.9363636363636364,0.936282986241636,0.8492416947520463,0.8846134634276295,0.9428863745787193,0.018934087113978426,0.9888059701492538,0.7096774193548387,0.9274193548387096,0.8912434771541301,0.8947773972602739,0.8929929791291563,0.9430650684931506,0.021973595654579,0.952054794520548,0.8375,0.926208651399491,0.9010633379565418,0.8847575399172087,0.8925308112287715,0.9401241868716735,0.02408643374051451,0.9605263157894737,0.8089887640449438,0.26515151515151514,0.4591655489904665,0.31176198559803764,0.26113392067972513,,1.070941993304481,0.12010443864229765,0.8151815181518152,,10
regnety_008,0.0,3,1,0.912534435261708,0.8690548195363661,0.864544287326905,0.8667700308430804,0.9479616368947599,0.05617842373031467,0.9469103568320278,0.7821782178217822,0.9187675070028011,0.8780193236714976,0.8660818713450292,0.8718577104452119,0.9636452241715399,0.059284541246776824,0.9543859649122807,0.7777777777777778,0.9212121212121213,0.8815172054223148,0.8523110255175734,0.8658452686221778,0.9597977852672124,0.048086231050886726,0.9626865671641791,0.7419354838709677,0.8844086021505376,0.8225806451612904,0.858304794520548,0.8380693034226536,0.9358304794520549,0.04829443844248157,0.9041095890410958,0.8125,0.926208651399491,0.9071485623003195,0.8768110585452396,0.8907003730591811,0.9435984624482554,0.06761451064611149,0.9671052631578947,0.7865168539325843,0.2926997245179063,0.30750074338388345,0.12491562472174111,0.1774847171333591,,1.0543432599470057,0.3681462140992167,0.006600660066006601,,12
regnety_008,0.0,3,2,0.9090909090909091,0.8629214520956787,0.8611534782721092,0.862032824647279,0.9352687226947237,0.06875969691157653,0.9434290687554395,0.7788778877887789,0.9047619047619048,0.8543554006968641,0.8469298245614035,0.8505614104205653,0.9436159844054581,0.07385032128844944,0.9438596491228071,0.75,0.9303030303030303,0.9050813977249506,0.8579080404429466,0.8788990825688074,0.9453538757823784,0.06066813142646785,0.9738805970149254,0.7419354838709677,0.9086021505376344,0.8543548140211235,0.8964041095890412,0.8724742891712038,0.9322773972602739,0.06389990055041159,0.9178082191780822,0.875,0.8956743002544529,0.8556403143781784,0.8411812536960379,0.8480608020820564,0.9272989355410999,0.07552994615813022,0.9407894736842105,0.7415730337078652,0.06818181818181818,0.19727795870247808,0.03439064533085163,0.05645116471941142,,1.0470463364754299,0.08006962576153177,0.0231023102310231,,10
regnety_008,0.0,3,3,0.9166666666666666,0.8859466065049821,0.8537902093081371,0.8684608318116172,0.9368657492381092,0.04815328082932371,0.9617058311575283,0.7458745874587459,0.9131652661064426,0.8786848072562359,0.841812865497076,0.8584148915755133,0.9474171539961014,0.06153466476789556,0.9614035087719298,0.7222222222222222,0.9242424242424242,0.8938423813091751,0.8479778526721233,0.8683685680095732,0.931391429947039,0.040639842562288434,0.9701492537313433,0.7258064516129032,0.9139784946236559,0.8704793944491169,0.877140410958904,0.8737431589665267,0.9323630136986302,0.03876620281031984,0.9417808219178082,0.8125,0.916030534351145,0.9055036344755971,0.8463926670609108,0.8711155279503106,0.9393110585452394,0.051192144913600864,0.9736842105263158,0.7191011235955056,0.026859504132231406,0.3112359550561798,0.013744194262768314,0.02528707025282779,,1.0222548386148904,0.031331592689295036,0.009900990099009901,,12
regnety_008,0.0,3,4,0.9152892561983471,0.874563815163371,0.8662849313651992,0.8703269272238958,0.9411225717872048,0.05304064835870491,0.9503916449086162,0.7821782178217822,0.9327731092436975,0.8956140350877193,0.8956140350877193,0.8956140350877193,0.953606237816764,0.05902874408765013,0.9578947368421052,0.8333333333333334,0.9333333333333333,0.9080112721417068,0.8659725565719788,0.8849518255578093,0.9399975926817525,0.03607426118694218,0.9738805970149254,0.7580645161290323,0.9086021505376344,0.8608630952380952,0.8737157534246576,0.867031118587048,0.9464041095890412,0.05401897885517605,0.934931506849315,0.8125,0.8905852417302799,0.8480698104484512,0.8339185393258427,0.8406491338909372,0.924896510940272,0.06092161183646824,0.9375,0.7303370786516854,0.8333333333333334,0.5361147564887722,0.4863003271606534,0.5084078177277679,,1.0040108585904013,0.9077458659704091,0.5511551155115512,,12
regnety_008,0.0,3,5,0.9228650137741047,0.896655532057305,0.8625666744220114,0.8780841799709724,0.9467839734365082,0.0608552960557481,0.9660574412532638,0.759075907590759,0.9187675070028011,0.8811374163664436,0.860891812865497,0.8704660619330622,0.9448830409356725,0.07303921652005807,0.9578947368421052,0.7638888888888888,0.9303030303030303,0.9169511220858451,0.8455103514684641,0.8754492197115148,0.9381921039961483,0.05247311880290584,0.9813432835820896,0.7096774193548387,0.9220430107526881,0.888465771516619,0.8777397260273974,0.8829414381666467,0.955265410958904,0.06233039725255621,0.9554794520547946,0.8,0.9211195928753181,0.9060891582267973,0.861601862803075,0.8811008637095594,0.9505839739798936,0.05542965036227905,0.9703947368421053,0.7528089887640449,0.7038567493112947,0.5801863415601151,0.3005397145458671,0.30946590061255813,,0.9652901935810828,0.8851174934725848,0.0165016501650165,,14
regnety_016,0.0,3,1,0.9159779614325069,0.8679772263401009,0.8837301484717662,0.8754892037786774,0.9393445872002343,0.044685262143550605,0.939077458659704,0.8283828382838284,0.9243697478991597,0.8744194517803479,0.9007309941520468,0.8866173408772775,0.9535575048732944,0.04852435496090157,0.9403508771929825,0.8611111111111112,0.9272727272727272,0.8842592592592593,0.8746389022628791,0.8793345115485405,0.9100866634569089,0.03582274037001682,0.9589552238805971,0.7903225806451613,0.9112903225806451,0.8622504537205081,0.8845034246575343,0.8726014176153758,0.9280393835616438,0.037087236442574,0.9315068493150684,0.8375,0.9033078880407125,0.8573648887318968,0.8739281490242461,0.8651776686407626,0.9550931401537551,0.05583167845458149,0.9276315789473685,0.8202247191011236,0.34228650137741046,0.2502241348395195,0.185493484074256,0.2022742262810756,,1.0625033127338541,0.38816362053959963,0.16831683168316833,,14
