Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,num_epochs_trained
n1,1,0.7875939849624061,0.5944060339409176,0.5017662110422292,0.44633634429552793,0.5424831375057619,0.6118872165814994,0.0,0.0,0.0,0.0,0.2820126121876556,0.0001736232924408398,46
n1,2,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5313825834187825,0.541944707139752,0.0,0.0,0.0,0.0,0.17667836185398123,2.9188984307362413e-105,25
n1,3,0.7875939849624061,0.3940438871473354,0.4996025437201908,0.4405888538380652,0.507358820707237,0.5842039156887907,0.0,0.0,0.0,0.0,0.20133942647567893,3.1218896008081116e-101,42
n1,4,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5114109933114458,0.48449228804990524,0.0,0.0,0.0,0.0,0.003117379489814191,4.801145570950019e-59,23
n1,5,0.7888471177944862,0.6605260216816302,0.5101339592289819,0.46595838690940145,0.5497102567238314,0.6340206166787391,0.0,0.0,0.0,0.0,0.30803572915143124,4.16767712107465e-221,50
n1_5,1,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.514179076396271,0.46201262217383204,0.0,0.0,0.0,0.0,0.035008170287530685,3.989936088734833e-18,16
n1_5,2,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5481886341614849,0.4722266549877577,0.0,0.0,0.0,0.0,0.03223508783707055,8.281749790535542e-68,16
n1_5,3,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5119448547050356,0.49230368639100025,0.0,0.0,0.0,0.0,0.02756121509859158,1.8106412789113408e-22,17
n1_5,4,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.49918392112962245,0.48183844409077475,0.0,0.0,0.0,0.0,0.0020490777809551047,0.0005775815345920041,17
n1_5,5,0.7888471177944862,0.89435736677116,0.5014792899408284,0.4438892145823834,0.449786455442564,0.49580117796872764,0.0,0.0,0.0,0.0,0.06527625583066377,3.670441386043265e-29,16
n2,1,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5056255350372998,0.5262111502756199,0.0,0.0,0.0,0.0,0.09030666199282426,2.235638689269769e-40,21
n2,2,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.49115953753962804,0.4894107409547588,0.0,0.0,0.0,0.0,0.17618451872555113,5.825467286471822e-10,22
n2,3,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5140073940978918,0.4474665731851951,0.0,0.0,0.0,0.0,0.04026861174429947,2.017319469889147e-82,17
n2,4,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5050234710868194,0.5036774478459096,0.0,0.0,0.0,0.0,0.0001727704417310916,6.523999783033147e-12,17
n2,5,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5207100591715976,0.539920256881675,0.0,0.0,0.0,0.0,0.24513589487716592,7.4477036890496e-46,27
n2_5,1,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.507024863359705,0.5254223680244141,0.0,0.0,0.0,0.0,0.09030666199282426,2.8568371601597878e-65,21
n2_5,2,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.4902682006754405,0.48793019417948286,0.0,0.0,0.0,0.0,0.17594870738200646,4.066340740784391e-09,22
n2_5,3,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5131866116029012,0.44244098509617696,0.0,0.0,0.0,0.0,0.039421221334534864,7.722240574058495e-80,17
n2_5,4,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5101598291643541,0.50480899100111,0.0,0.0,0.0,0.0,0.0002844994143272545,0.00011464251004385226,17
n2_5,5,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.4758680539223526,0.5138360160776191,0.0,0.0,0.0,0.0,0.1103424406338412,1.1891625651369432e-49,22
n5,1,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.4990757377635206,0.5029200554523453,0.0,0.0,0.0,0.0,0.035269210112493746,6.489033565032317e-25,18
n5,2,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.4753036189687773,0.5273637937585949,0.0,0.0,0.0,0.0,0.17977140915262668,5.5338274512199304e-68,26
n5,3,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.47055295810951925,0.5326358476063383,0.0,0.0,0.0,0.0,0.11746634366162413,3.4468869457161366e-135,23
n5,4,0.7875939849624061,0.3940438871473354,0.4996025437201908,0.4405888538380652,0.48607021570822473,0.5815704577228612,0.0,0.0,0.0,0.0,0.2806423795198545,9.6877736544789e-173,49
n5,5,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.474346431360006,0.5782230072793443,0.0,0.0,0.0,0.0,0.2483421424238652,0.0036488095499812886,50
n10,1,0.7857142857142857,0.47735849056603774,0.49949200854178233,0.4428648419127254,0.4872766954214918,0.6225795982340154,0.0,0.0,0.0,0.0,0.17120676063255164,0.0002409913205053506,50
n10,2,0.7875939849624061,0.3940438871473354,0.4996025437201908,0.4405888538380652,0.5080361426515273,0.5839665726803477,0.0,0.0,0.0,0.0,0.20303502480742563,2.4343701316692167e-36,37
n10,3,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5121541660003198,0.5725948361593659,0.0,0.0,0.0,0.0,0.272785645797276,7.817829167075699e-88,33
n10,4,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5410061993772401,0.5471937279416887,0.0,0.0,0.0,0.0,0.3319634071509664,1.0445893207318902e-229,40
n10,5,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.501072426411793,0.5961227553428268,0.0,0.0,0.0,0.0,0.2914492542661352,8.667549085443206e-142,45
