Model,rmv_inf_grad,Fold,Accuracy,Precision,Recall,F1,AUC,Uncertainty,num_epochs_trained,Acc_class_0,Acc_class_1
R34,False,5,0.9070247933884298,0.8551899293286218,0.8695680272988134,0.8620610064437677,0.9359609590201841,0.05833171439202809,12,0.9338555265448216,0.8052805280528053
R50,True,1,0.9084022038567493,0.8547977624784854,0.8789433773664572,0.865967525324209,0.9443769442218375,0.049130090140820905,15,0.9295039164490861,0.8283828382838284
R50,True,2,0.9042699724517906,0.8500119866185749,0.8690423872674473,0.858957703663586,0.9410622524393432,0.050724736134667756,15,0.9295039164490861,0.8085808580858086
R50,True,3,0.9049586776859504,0.8541528697960552,0.8609725202285241,0.8574911454703213,0.9389367135146934,0.06363339157247094,10,0.9364664926022629,0.7854785478547854
R50,True,4,0.9104683195592287,0.8608846704373323,0.8729588363536093,0.8667024461894808,0.9450059888495377,0.049058071760174446,18,0.9373368146214099,0.8085808580858086
R50,True,5,0.9049586776859504,0.8508134556574924,0.870692552283949,0.8601331825606232,0.9501561122169658,0.052018388218114796,13,0.9295039164490861,0.8118811881188119
R50,False,1,0.9028925619834711,0.846987951807229,0.8706020732621564,0.8579054215843116,0.9413437427293644,0.05617868610021757,18,0.9260226283724978,0.8151815181518152
R50,False,2,0.8939393939393939,0.8320563279691344,0.8685899921584848,0.8480407747196739,0.9413925726776333,0.05854189965242436,11,0.9120974760661444,0.8250825082508251
R50,False,3,0.9077134986225895,0.8608259176622379,0.859068152246034,0.8599424128995106,0.9406974640022749,0.056719533063371796,11,0.9425587467362925,0.7755775577557755
R50,False,4,0.9008264462809917,0.8410055593359611,0.881446630302717,0.8585205173939756,0.9468586545338608,0.05579359738319331,13,0.9147084421235857,0.8481848184818482
R50,False,5,0.9097796143250688,0.862599664647709,0.865233651302467,0.863906328815051,0.9399161848299713,0.054767174165844514,12,0.9416884247171453,0.7887788778877888
R101,True,1,0.8898071625344353,0.8248275862068966,0.8781290661703246,0.8463817181548878,0.9373281975717155,0.07381869601676358,13,0.8981723237597912,0.858085808580858
R101,True,2,0.900137741046832,0.8427715231433377,0.8676464252169342,0.8542046522385548,0.9379084122511467,0.06383225830872803,10,0.9234116623150566,0.8118811881188119
R101,True,3,0.8987603305785123,0.8424448384554768,0.8594860791562184,0.8504958047292144,0.9391435227073623,0.053769340303751266,15,0.9268929503916449,0.7920792079207921
R101,True,4,0.9070247933884298,0.8524926890405236,0.8780730553473102,0.8642595038083096,0.9426161937342559,0.06206292514978976,12,0.927763272410792,0.8283828382838284
