Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,class_Acc_class_0,class_Acc_class_1,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,stain_Acc_class_0,stain_Acc_class_1,stain_Acc_class_2,stain_Acc_class_3,num_epochs_trained
0,5,0.8659147869674185,0.835930735930736,0.7299508000865467,0.764275539163179,0.8855090732918786,0.07839923954621521,0.965818759936407,0.4940828402366864,0.2794486215538847,0.24566473585523796,0.30087323580418035,0.19139414391382897,0.5184259921649796,1.2984830484744103,0.7664670658682635,0.0038461538461538464,0.43317972350230416,0.0,16
p1,1,0.8671679197994987,0.817533979907533,0.7577915541716447,0.7813156017000857,0.884074467784875,0.09319500436252166,0.9475357710651828,0.5680473372781065,0.9931077694235589,0.9929209104507168,0.9933728696453248,0.9931385895871134,0.9999318617735857,0.049024193020392126,0.9850299401197605,0.9884615384615385,1.0,1.0,16
p1,2,0.8715538847117794,0.8305699481865285,0.7573282471472517,0.7848981655399209,0.8769155511236959,0.08626145582509287,0.9554848966613673,0.5591715976331361,0.9912280701754386,0.9908456225765658,0.991599642872098,0.9912176345545997,0.999719681592104,0.052199914084971474,0.9850299401197605,0.9846153846153847,1.0,0.9967532467532467,16
p1,3,0.8671679197994987,0.8162559941403345,0.7599552214936831,0.7824382716049383,0.8896294484529779,0.0887561539850159,0.9459459459459459,0.5739644970414202,0.9906015037593985,0.9901983954297684,0.9919852602487333,0.9910506368122216,0.9998739758468802,0.052782935558461815,0.9910179640718563,0.9769230769230769,1.0,1.0,16
p1,4,0.8659147869674185,0.8249696632622106,0.7418509703577577,0.7714721586575134,0.8736230138945071,0.08306982458089646,0.9570747217806042,0.5266272189349113,0.9943609022556391,0.9938922384726712,0.9948698756333487,0.9943731390068347,0.9999258056341862,0.054695988878134545,0.9910179640718563,0.9884615384615385,1.0,1.0,16
p1,5,0.8627819548872181,0.8136935603256847,0.7441910236027882,0.7702082841621594,0.8866943866943867,0.09199677589715634,0.9499205087440381,0.5384615384615384,0.9899749373433584,0.99057137097843,0.9895671693575885,0.9900510624339529,0.9998369651350538,0.055341811402568,0.9730538922155688,0.9884615384615385,1.0,0.9967532467532467,16
p2,1,0.8583959899749374,0.80908543243345,0.7316723266949511,0.759317781455186,0.8744837771987093,0.08752571450694163,0.951510333863275,0.5118343195266272,0.981829573934837,0.9808411303437147,0.983158716404322,0.9819618652235426,0.9991876242828616,0.22930402124655982,0.9760479041916168,0.9653846153846154,0.9976958525345622,0.9935064935064936,16
p2,2,0.8665413533834586,0.820926297980332,0.7498212622647011,0.7765039476097715,0.8826798430870829,0.08591437311945702,0.9523052464228935,0.5473372781065089,0.9755639097744361,0.973949343640224,0.9783049286043298,0.9759842834195271,0.9988330878971025,0.2370101761342001,0.9670658682634731,0.9461538461538461,1.0,1.0,16
p2,3,0.8640350877192983,0.8242693897398492,0.7352494332132341,0.7660119705944153,0.881962540333581,0.0730121782807362,0.958664546899841,0.5118343195266272,0.9786967418546366,0.9778072591962701,0.9807548702504758,0.9791382714992451,0.9995315591992768,0.18512390157594263,0.9760479041916168,0.9557692307692308,0.9976958525345622,0.9935064935064936,17
p2,4,0.8740601503759399,0.8298833612969738,0.7686545752156612,0.7929299677578645,0.8881689730106018,0.08156973486239771,0.951510333863275,0.5857988165680473,0.981829573934837,0.9811381214224176,0.9840571853296405,0.9824502885727833,0.9995653215674078,0.2247521122933884,0.9850299401197605,0.9576923076923077,1.0,0.9935064935064936,16
