Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,class_Acc_class_0,class_Acc_class_1,scanner_Accuracy,scanner_Precision,scanner_Recall,scanner_F1,scanner_AUC,scanner_Uncertainty,scanner_Acc_class_0,scanner_Acc_class_1,scanner_Acc_class_2,num_epochs_trained
n2,1,0.8489974937343359,0.7871735222586445,0.7235468151757745,0.7471241848542485,0.789891440343929,0.5493877587306938,0.9411764705882353,0.5059171597633136,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.34898586241982704,0.0077048827987693655,0.0,0.0,1.0,50
n2,2,0.8577694235588973,0.8166518998299268,0.7193747001439309,0.7510347438927261,0.7952112397813755,0.5410863137540036,0.9594594594594594,0.47928994082840237,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.33644483459243574,0.005325432465994402,0.0,0.0,1.0,50
n2,3,0.8558897243107769,0.823673433048433,0.7052003273722731,0.7398182668726876,0.7828712806088372,0.48053729894208835,0.9666136724960255,0.4437869822485207,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.4232746814845541,0.001280610490298538,0.0,0.0,1.0,50
n2,4,0.8333333333333334,0.7696736620733268,0.672500729061815,0.7,0.7337913095831647,0.4761426825267048,0.951510333863275,0.39349112426035504,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.38257984898836167,0.009707760269785017,0.0,0.0,1.0,50
n2,5,0.8464912280701754,0.7769254334052775,0.7338571603277486,0.7514251004579011,0.7794305792043348,0.5486877124925296,0.9292527821939587,0.5384615384615384,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.3223779451788183,0.007107048487965118,0.0,0.0,1.0,50
n1,1,0.8070175438596491,0.7083926031294452,0.6309253911063866,0.6505255255255256,0.7252753972210986,0.6166023217574406,0.9364069952305246,0.3254437869822485,0.02756892230576441,0.019147084421235857,0.24043715846994537,0.035469568722289395,0.3260257068922375,0.012964985158395542,0.0,0.0,0.7213114754098361,39
n1,2,0.8408521303258145,0.7689887718566413,0.7183798835382547,0.737991334112367,0.8087012351718235,0.586335947823892,0.9308426073131956,0.5059171597633136,0.0006265664160401002,0.00042517006802721087,0.00041000410004100044,0.0004174493842621582,0.16566823369298941,2.3363495319106153e-70,0.0012300123001230013,0.0,0.0,21
n1,3,0.8370927318295739,0.7943592127692546,0.660821629147421,0.6917087667161961,0.7756253468923152,0.6232922335275175,0.9666136724960255,0.35502958579881655,0.0012531328320802004,0.0009208103130755064,0.01092896174863388,0.0016985138004246283,0.33044250585528806,0.0024509712693500762,0.0,0.0,0.03278688524590164,36
n1,4,0.8214285714285714,0.7319311134810602,0.7071405725251879,0.7178510129785061,0.7988659561057752,0.647525906660408,0.9054054054054054,0.5088757396449705,0.0,0.0,0.0,0.0,0.18855442997109254,2.144290513848579e-152,0.0,0.0,0.0,33
n1,5,0.793859649122807,0.6802210514796692,0.6355608131626231,0.6501042522524684,0.7515874733069303,0.6491757482419996,0.910174880763116,0.3609467455621302,0.0006265664160401002,0.00040950040950040947,0.00546448087431694,0.0007619047619047619,0.246154155555656,0.000417544470703878,0.0,0.0,0.01639344262295082,41
