Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,scanner_Accuracy,scanner_Precision,scanner_Recall,scanner_F1,scanner_AUC,scanner_Uncertainty,num_epochs_trained
n2,2,0.8734335839598998,0.8329424715229252,0.761766116969737,0.7888883359220911,0.8864592054637305,0.044537615797769346,0.3383458646616541,0.35107704591447453,0.35562876086505746,0.29377100829378383,0.5320957405458481,1.0970650918993585,17
n2,3,0.8765664160401002,0.8420220177305507,0.7626715647077638,0.7921829671887672,0.8893048983546721,0.04671072854468427,0.33270676691729323,0.32738635704817215,0.3265113108421852,0.2825029319411342,0.5068653051615307,1.0970116207993559,17
n2,4,0.8652882205513784,0.8208128933193144,0.744699015061006,0.7725825211832813,0.887952606278398,0.05389966530204821,0.34273182957393483,0.3422199665324364,0.322290629472754,0.2902275938106557,0.4855777158297072,1.0971252826640758,16
n2,5,0.8709273182957393,0.8323226197695572,0.7526034562233657,0.7818074668705404,0.8910428876492225,0.04516064744230701,0.3082706766917293,0.310978473567864,0.29906861054896366,0.26319262311941527,0.4720923783237534,1.0972103526455987,16
n2_5,1,0.8665413533834586,0.8284979228543938,0.7400847593155285,0.7709638842382205,0.8809700755402113,0.048402925416812875,0.34649122807017546,0.34275399140662516,0.35616271947652045,0.296656761902089,0.5094425084826574,1.0971441137466882,16
n2_5,2,0.8740601503759399,0.8258177261017894,0.7751455771817763,0.7960671232328087,0.8845424784338811,0.048441967624085806,0.34523809523809523,0.3575144758396842,0.3908274015304523,0.30271522452536576,0.5391358889475896,1.0971812700395416,17
n2_5,3,0.8715538847117794,0.8305699481865285,0.7573282471472517,0.7848981655399209,0.8834136085267308,0.046456167545409544,0.33897243107769426,0.33273218627749607,0.33050799900851285,0.2873589284199318,0.5036187702320903,1.0971269694220038,17
n2_5,4,0.8709273182957393,0.8297725288582791,0.7558489572064233,0.7835604534502508,0.8864897790237156,0.04940961998710669,0.3333333333333333,0.33760744304035145,0.3162439208062214,0.283986404549797,0.49614324956012607,1.097085459101344,16
n2_5,5,0.8709273182957393,0.835056628577207,0.7493579552403082,0.7800152555301296,0.8871718045926189,0.045629517869720505,0.325187969924812,0.32931981041876474,0.31060380900344126,0.2772241008634462,0.4738226353174855,1.0972354780545739,16
n5,1,0.8721804511278195,0.8339048672566372,0.7555620361050226,0.7845087537692965,0.887167100968006,0.05212201133355443,0.32205513784461154,0.32012425407703704,0.2880774993209267,0.2706148285532996,0.4968058115631086,1.0972530606329407,16
n5,2,0.8734335839598998,0.834610534484431,0.7596024496476985,0.7877631630919935,0.8934041072050122,0.04993362246487457,0.31704260651629074,0.3319094175191382,0.34148191579549875,0.27668874103947094,0.5264980341061366,1.097131656647841,16
n5,3,0.8596491228070176,0.7986484863702361,0.7573494134580108,0.7747035573122529,0.8945917724198268,0.05085679803120811,0.3283208020050125,0.341560916834637,0.37382431496536933,0.28837226035106117,0.5166239915249509,1.0971834485060499,16
n5,4,0.8646616541353384,0.8184259677478424,0.745383392442216,0.7724454771083065,0.8746836812447671,0.04912249537828296,0.3308270676691729,0.33244224501716274,0.3252812985420622,0.2829734618621521,0.48942501808493466,1.0973572904989748,17
n5,5,0.8583959899749374,0.8083499501495514,0.7327541603559703,0.7599731688684344,0.8893096019792853,0.0431609990795468,0.3358395989974937,0.33298473467736706,0.3078783364919158,0.2830640525941274,0.4890242345868674,1.097296652371813,17
n10,1,0.8659147869674185,0.8286260932944607,0.737523635713681,0.7689241302788791,0.8807372461218616,0.05480271497651895,0.3208020050125313,0.31967065935609357,0.30262762711183716,0.2718040146982948,0.49827618186868045,1.0973236729112634,16
n10,2,0.8703007518796992,0.8265892076099499,0.7576151682486524,0.7839484414391142,0.8865720924544453,0.04537936484648784,0.34711779448621555,0.36645556159311754,0.40175295604279776,0.30676699253857004,0.5441650172486908,1.097299622133036,17
n10,3,0.8677944862155389,0.8310657961211598,0.7419615055361661,0.7731144580951386,0.8851445423843614,0.04557296734733267,0.3233082706766917,0.32573515830861316,0.3197411323370761,0.27658100613392966,0.49453512835941155,1.0972598975716152,17
n10,4,0.8721804511278195,0.8275011660447762,0.7642167053931759,0.789021858305923,0.8797236150177326,0.048920316266694575,0.35275689223057644,0.3476234680844063,0.34009652979686783,0.29904409844971175,0.4882859132087329,1.097351319881901,17
n10,5,0.8609022556390977,0.8200449260042284,0.7278529835090921,0.7589340387488672,0.8787405574735891,0.04910293461193307,0.33270676691729323,0.33686050141000373,0.3575616413264173,0.2886219783651028,0.5105761527911487,1.0973208542996469,16
