Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,class_Acc_class_0,class_Acc_class_1,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,stain_Acc_class_0,stain_Acc_class_1,stain_Acc_class_2,stain_Acc_class_3,scanner_Accuracy,scanner_Precision,scanner_Recall,scanner_F1,scanner_AUC,scanner_Uncertainty,scanner_Acc_class_0,scanner_Acc_class_1,scanner_Acc_class_2,num_epochs_trained
n2,1,0.8615288220551378,0.821833248773888,0.7282504397889014,0.759680315051833,0.7812226601819363,0.38661713883671633,0.9594594594594594,0.4970414201183432,0.3258145363408521,0.08145363408521303,0.25,0.12287334593572778,0.2233727267274344,0.014645459905498254,0.0,1.0,0.0,0.0,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.2958168878077421,0.010594353485619129,0.0,0.0,1.0,17
n2,2,0.8590225563909775,0.7991492028127829,0.7526246225341249,0.7717169289919501,0.8451613813604764,0.2901359879814217,0.9372019077901431,0.5680473372781065,0.20927318295739347,0.05231829573934837,0.25,0.08652849740932643,0.28183274502728944,0.007931928379858386,1.0,0.0,0.0,0.0,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.46017069891314494,0.005077935111385367,0.0,0.0,1.0,17
n2,3,0.8483709273182958,0.77232154092667,0.805368717133423,0.7863307251097578,0.8444581894808139,0.39612608932891563,0.8799682034976153,0.7307692307692307,0.20927318295739347,0.05231829573934837,0.25,0.08652849740932643,0.27556168403919334,0.010276250030494254,1.0,0.0,0.0,0.0,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.4094239506320827,0.006190311277945304,0.0,0.0,1.0,18
n2,4,0.868421052631579,0.8084332169872155,0.7834686409347043,0.7947932993730408,0.8249875353947751,0.43004965064434103,0.9308426073131956,0.636094674556213,0.3258145363408521,0.08145363408521303,0.25,0.12287334593572778,0.2395369239229585,0.008356284456927002,0.0,1.0,0.0,0.0,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.4078810846571897,0.004791314919455088,0.0,0.0,1.0,20
n2,5,0.8358395989974937,0.774795918367347,0.6773360551641094,0.7053964711153947,0.7981039689184486,0.32454044269285165,0.9523052464228935,0.40236686390532544,0.3258145363408521,0.08145363408521303,0.25,0.12287334593572778,0.2244219549790452,0.008083132087163925,0.0,1.0,0.0,0.0,0.03822055137844611,0.012740183792815371,0.3333333333333333,0.024542345604506136,0.4008017866671662,0.004715261223049061,0.0,0.0,1.0,18
n1,1,0.8088972431077694,0.7100060723648158,0.666736437098428,0.6825003407978387,0.7680619185144072,0.6135801163430586,0.9133545310015898,0.42011834319526625,0.0,0.0,0.0,0.0,0.2277171961908602,0.0007922960868824817,0.0,0.0,0.0,0.0,0.011278195488721804,0.0057251908396946565,0.09836065573770492,0.010820559062218215,0.2667104809924175,0.000529723663612625,0.0,0.0,0.29508196721311475,19
n1,2,0.7951127819548872,0.6800562687484861,0.6136372188408388,0.6295293552263852,0.712984826106998,0.6164800918403583,0.9284578696343402,0.2988165680473373,0.0,0.0,0.0,0.0,0.26151500067181543,6.142801584017557e-05,0.0,0.0,0.0,0.0,0.002506265664160401,0.0011851851851851852,0.02185792349726776,0.0022484541877459247,0.2890164015693039,0.0004222751350365319,0.0,0.0,0.06557377049180328,38
n1,3,0.8151629072681704,0.7351465973398459,0.6263558197947339,0.6484883325929603,0.7219311201211653,0.6467861490403333,0.9538950715421304,0.2988165680473373,0.0,0.0,0.0,0.0,0.3167079278931414,1.7625828153369018e-19,0.0,0.0,0.0,0.0,0.0018796992481203006,0.0013755158184319118,0.01639344262295082,0.002538071065989848,0.26653584663212476,0.000803534422563659,0.0,0.0,0.04918032786885246,36
n1,4,0.7988721804511278,0.6950076322169345,0.6787683088588066,0.6859590760386841,0.7375777273967318,0.6367865177409717,0.8871224165341812,0.47041420118343197,0.046365914786967416,0.016072980017376195,0.060064935064935064,0.025359835503769704,0.30237071841204743,0.001528749239090367,0.0,0.0,0.0,0.24025974025974026,0.0,0.0,0.0,0.0,0.14245606111551742,0.00037209700065224876,0.0,0.0,0.0,26
n1,5,0.7769423558897243,0.6810374149659864,0.7102943528282895,0.692040854820561,0.751815599100667,0.6311900778291157,0.8259141494435612,0.5946745562130178,0.0,0.0,0.0,0.0,0.22599580748401105,4.981763075443277e-69,0.0,0.0,0.0,0.0,0.011278195488721804,0.005623242736644799,0.09836065573770492,0.010638297872340425,0.26125809181544213,8.119514842386562e-105,0.0,0.0,0.29508196721311475,17
0,1,0.8627819548872181,0.8079790860262595,0.7539275265519609,0.7755419855367774,0.8783407493814733,0.08589749545124474,0.9427662957074722,0.5650887573964497,0.2932330827067669,0.2392567980176902,0.23333317373181195,0.16554198056752228,0.5226883508231895,1.3256698702029786,0.029940119760479042,0.7903846153846154,0.0967741935483871,0.016233766233766232,0.44862155388471175,0.15029387069689337,0.33056325023084027,0.20663780663780662,0.4353147620988027,0.920819593013556,0.0,0.9916897506925207,0.0,16
0,2,0.8590225563909775,0.8130906832537979,0.7288242819917028,0.7580604410967118,0.876402856040865,0.07905615099064764,0.9546899841017488,0.5029585798816568,0.2174185463659148,0.19458039890681664,0.25633248584523455,0.12443911914962989,0.47183840917943626,1.2562024993536796,0.9431137724550899,0.0,0.052995391705069124,0.02922077922077922,0.42857142857142855,0.3198417325214838,0.3237698820383145,0.28647712194608715,0.45461801951817965,1.035903781816167,0.16728167281672818,0.7548476454293629,0.04918032786885246,16
0,3,0.8703007518796992,0.8289717408958601,0.7543696672655948,0.7822188793473396,0.884780011476844,0.08237155354592864,0.9554848966613673,0.5532544378698225,0.20676691729323307,0.07719222921083732,0.2478905824714208,0.10416825864672599,0.553307407706292,1.181792258774565,0.9461077844311377,0.0,0.0,0.045454545454545456,0.29699248120300753,0.2838686410114981,0.4496496029852901,0.24973497094269267,0.5744752189314434,1.0473463900534414,0.46002460024600245,0.06925207756232687,0.819672131147541,16
0,4,0.8696741854636592,0.8290007374631269,0.7518085436637473,0.7802834352157534,0.8844719240646843,0.07795615774524564,0.9562798092209857,0.5473372781065089,0.18358395989974938,0.170333925473214,0.19387324815420237,0.16547499776728142,0.40932194198507865,1.3324740925774052,0.11377245508982035,0.23461538461538461,0.01152073732718894,0.4155844155844156,0.19924812030075187,0.40694549424708154,0.4131834331830444,0.2025025914509545,0.6121969111002838,1.0463893901539425,0.2091020910209102,0.12880886426592797,0.9016393442622951,16
0,5,0.8527568922305765,0.8025158371040724,0.7161950499054571,0.7451773180228651,0.8706032868928797,0.06535491066590862,0.9531001589825119,0.47928994082840237,0.18421052631578946,0.18778311369065803,0.18974068596074584,0.17150941092055866,0.4512195495281397,1.2846478947668023,0.3532934131736527,0.11346153846153846,0.21428571428571427,0.07792207792207792,0.3408521303258145,0.2813919220822613,0.24463316064975738,0.2524124195917083,0.40449846119422855,1.0651952144704429,0.2742927429274293,0.44321329639889195,0.01639344262295082,17
p1,1,0.8590225563909775,0.8279971553284979,0.7125967770764151,0.7473786400937041,0.8834465338990225,0.08056031643484557,0.9666136724960255,0.45857988165680474,0.9968671679197995,0.9970679233391584,0.9971378848117307,0.9971007880694387,0.9999762039181671,0.053060257919498234,0.9970059880239521,0.9961538461538462,0.9953917050691244,1.0,0.981829573934837,0.9202962506841817,0.9317871667431992,0.9258872648387211,0.9975900173027034,0.06815404869155531,0.995079950799508,0.9806094182825484,0.819672131147541,17
p1,2,0.8521303258145363,0.7867258308157099,0.7428434351511275,0.7608563700778403,0.8784630436214147,0.0905687325445419,0.9324324324324325,0.5532544378698225,0.9924812030075187,0.9934674728940784,0.9917579800439081,0.9925780866630745,0.9999304962551268,0.057450011403524,0.9760479041916168,0.9942307692307693,1.0,0.9967532467532467,0.981829573934837,0.9314378121673625,0.9265776607177996,0.9289301911871298,0.9976232895779478,0.08153830402341608,1.0,0.9764542936288089,0.8032786885245902,17
p1,3,0.8583959899749374,0.8321748065764023,0.70679015249151,0.7427855062624972,0.8801704593559799,0.08191263084131029,0.9697933227344993,0.4437869822485207,0.9912280701754386,0.9913544014270744,0.9916447590462465,0.9914951506573633,0.9998040347005738,0.06389816916078396,0.9850299401197605,0.9884615384615385,0.9930875576036866,1.0,0.9805764411027569,0.9277718854812392,0.8957408503743092,0.9105073961157286,0.9964541079022071,0.0820891335031241,0.997539975399754,0.9847645429362881,0.7049180327868853,16
p1,4,0.8640350877192983,0.8242693897398492,0.7352494332132341,0.7660119705944153,0.8817367663521511,0.08114265770330312,0.958664546899841,0.5118343195266272,0.9962406015037594,0.9963121833256564,0.9963121833256564,0.9963121833256564,0.9999395224957563,0.053509264157945324,0.9910179640718563,0.9942307692307693,1.0,1.0,0.981203007518797,0.933474220328527,0.9214232383457298,0.9272680967274658,0.997275115706354,0.07762573927021668,0.992619926199262,0.9847645429362881,0.7868852459016393,17
p1,5,0.8671679197994987,0.831222667638484,0.7394003819343186,0.7710837178463662,0.8935099387588075,0.08521544750541826,0.9610492845786963,0.5177514792899408,0.9981203007518797,0.9979607399489141,0.9982899585444496,0.998124462689548,0.9999818587055442,0.059433409760999596,0.9970059880239521,0.9961538461538462,1.0,1.0,0.9887218045112782,0.9681022594148398,0.9267050224655101,0.9455876071758924,0.9978022774077583,0.061815302568815844,0.998769987699877,0.9944598337950139,0.7868852459016393,16
p2,1,0.8709273182957393,0.8323226197695572,0.7526034562233657,0.7818074668705404,0.886983659608094,0.08659934204895064,0.9578696343402225,0.5473372781065089,0.9761904761904762,0.9748566925049944,0.9778069537667278,0.976177250549689,0.9993074457465203,0.26583641255918716,0.9730538922155688,0.9557692307692308,0.9953917050691244,0.987012987012987,0.9555137844611529,0.8807893854843601,0.793104522707731,0.8240871970656273,0.9872373722722015,0.2583091985953891,0.976629766297663,0.9764542936288089,0.4262295081967213,16
p2,2,0.8652882205513784,0.8259300495876278,0.7382080130948909,0.7688133103813024,0.888632280034995,0.07999196334863748,0.958664546899841,0.5177514792899408,0.981829573934837,0.9793591070942492,0.9848283043014547,0.9818568865371621,0.9996148027065773,0.24579497224335317,0.9910179640718563,0.9538461538461539,0.9976958525345622,0.9967532467532467,0.9624060150375939,0.9078853270184054,0.8383604405046367,0.8662167887187556,0.9896409604618599,0.26303071715436616,0.972939729397294,0.9847645429362881,0.5573770491803278,16
p2,3,0.8634085213032582,0.816740412979351,0.7424248125605593,0.7697201388318953,0.8877668131061797,0.08543025466194205,0.9523052464228935,0.5325443786982249,0.9799498746867168,0.9792362396584942,0.980913207422286,0.9800465758474242,0.9992962615318405,0.24790935340916984,0.9670658682634731,0.9653846153846154,0.9976958525345622,0.9935064935064936,0.9467418546365914,0.8723311884157247,0.7822583121158398,0.8132355694645055,0.9841954837438188,0.26542113779905563,0.9618696186961869,0.9750692520775623,0.4098360655737705,16
p2,4,0.8740601503759399,0.840869515931469,0.7545907376224119,0.7856488512893636,0.893970893970894,0.07541873148309429,0.9618441971383148,0.5473372781065089,0.974937343358396,0.9727638679585207,0.9797754942083221,0.9755532076840632,0.9994307008219624,0.24435687129808903,0.9910179640718563,0.9326923076923077,0.9953917050691244,1.0,0.9467418546365914,0.8514715070907618,0.7768421004222757,0.8035730161661103,0.983428398860937,0.25530696045839874,0.971709717097171,0.9653739612188366,0.39344262295081966,16
p2,5,0.8615288220551378,0.8268663564265583,0.7228412714838055,0.7562120934604631,0.8708949116188935,0.07045328894562757,0.9634340222575517,0.4822485207100592,0.981203007518797,0.9799797639932325,0.983104133890062,0.9814477730772359,0.9994515401494135,0.21044570588360484,0.9760479041916168,0.9596153846153846,1.0,0.9967532467532467,0.9667919799498746,0.9050178495793917,0.8561355174425455,0.8772656361922903,0.9912755558010738,0.22846896990402196,0.984009840098401,0.9778393351800554,0.6065573770491803,17
p3,1,0.8627819548872181,0.8097468056479805,0.7506820255689034,0.7738023511291309,0.8799352781253232,0.08466772629164539,0.9451510333863276,0.5562130177514792,0.9223057644110275,0.9211333262988868,0.9303148392075377,0.9231807782075414,0.9917217460680762,0.7188588301680229,0.937125748502994,0.8346153846153846,0.988479262672811,0.961038961038961,0.8966165413533834,0.5969990461515885,0.6210806844910555,0.6087124006497128,0.9419215557843756,0.5714717106691009,0.942189421894219,0.9210526315789473,0.0,16
p3,2,0.8577694235588973,0.8196231258021097,0.7161291991608734,0.7488643886275964,0.8813110883246631,0.07228418170038314,0.9618441971383148,0.47041420118343197,0.9285714285714286,0.925694158065096,0.9370608324937569,0.9282672803874314,0.993041670495285,0.7437364503110013,0.9640718562874252,0.8365384615384616,0.9930875576036866,0.9545454545454546,0.8872180451127819,0.9237802814995263,0.6498468726570014,0.6693612974586136,0.9498158821392605,0.5823253702017568,0.9261992619926199,0.9085872576177285,0.11475409836065574,16
p3,3,0.8609022556390977,0.8118362831858408,0.7386713201192839,0.7654948202783521,0.8841356149048457,0.08382159614605438,0.9507154213036566,0.5266272189349113,0.9266917293233082,0.9225459981489764,0.9332891960753175,0.9266170187392431,0.9906103323547523,0.7288759368165482,0.9221556886227545,0.8480769230769231,0.9953917050691244,0.9675324675324676,0.900375939849624,0.6001758793969849,0.6243675317639603,0.6115389861852031,0.9455555845450861,0.5275406642333538,0.9298892988929889,0.943213296398892,0.0,16
p3,4,0.87531328320802,0.8414368346047447,0.7586311511650878,0.7889358874250303,0.8924492714085475,0.06809509581070543,0.9610492845786963,0.5562130177514792,0.9078947368421053,0.9091918218192472,0.9195248806630881,0.9095866380007165,0.9877050911478941,0.7550009967401535,0.9401197604790419,0.7884615384615384,0.988479262672811,0.961038961038961,0.8966165413533834,0.5968518433962134,0.6207189495717672,0.6085419166692588,0.9461050664980052,0.5357865876286992,0.95079950799508,0.9113573407202216,0.0,16
p3,5,0.8659147869674185,0.8295959715173689,0.7364418020526617,0.768275075987842,0.8834535893359421,0.06486844318991318,0.9610492845786963,0.5118343195266272,0.9291979949874687,0.9264555153541002,0.9365830241325219,0.9296039015268878,0.9929940042112255,0.6724286642041748,0.9401197604790419,0.8442307692307692,0.9976958525345622,0.9642857142857143,0.9135338345864662,0.7753654474318227,0.6379804182220561,0.6308284733594722,0.9415521052520521,0.5072677399543503,0.955719557195572,0.9418282548476454,0.01639344262295082,17
p4,1,0.8609022556390977,0.8097380307136404,0.7419168211023415,0.7673701571560636,0.877896256855533,0.0884843570254672,0.9483306836248012,0.5355029585798816,0.8540100250626567,0.8586588394769591,0.8588292031997363,0.8528226500105133,0.9726113896458785,1.0022088331402061,0.8712574850299402,0.7480769230769231,0.9815668202764977,0.8344155844155844,0.8283208020050126,0.5522666922609335,0.5715843308017567,0.5609328831078085,0.8977372055945884,0.7182063058731856,0.922509225092251,0.7922437673130194,0.0,16
p4,2,0.8671679197994987,0.832212124788544,0.7383185482732995,0.7704407294832827,0.8868449026820068,0.07282581018377521,0.9618441971383148,0.514792899408284,0.8590225563909775,0.8572216910277861,0.8669773050978382,0.8561691326090365,0.9735016260190377,1.0432676863913903,0.8712574850299402,0.7384615384615385,0.9815668202764977,0.8766233766233766,0.8308270676691729,0.5535332605455893,0.573586082121209,0.5628269924838015,0.8991122273809767,0.7188273884084543,0.9188191881918819,0.8019390581717452,0.0,16
p4,3,0.8728070175438597,0.838356755327021,0.7527139914017742,0.7835160040385115,0.8767391652007037,0.07706823304479574,0.9610492845786963,0.5443786982248521,0.8771929824561403,0.8753666146715937,0.889319939766627,0.8783058734933222,0.9759443985799532,1.0015031670153964,0.874251497005988,0.7423076923076923,0.9861751152073732,0.9545454545454546,0.8847117794486216,0.5890688991078096,0.6128255188369058,0.6006148350421626,0.9208391675278738,0.6525156728604096,0.9298892988929889,0.9085872576177285,0.0,16
p4,4,0.8696741854636592,0.8325348872484579,0.7474812090196705,0.7778794813119756,0.8821083526965882,0.06831150567477695,0.9594594594594594,0.5355029585798816,0.8295739348370927,0.8421125697407268,0.8451943097466568,0.8305162776441494,0.9672092886240544,1.0636374201926841,0.8952095808383234,0.65,0.9654377880184332,0.8701298701298701,0.8114035087719298,0.5414411976911977,0.5593256625087026,0.5488712074969982,0.9065765330584883,0.6929474156823062,0.9175891758917589,0.760387811634349,0.0,16
p4,5,0.868421052631579,0.8369196149185762,0.7380316271718986,0.7713179987118044,0.8920706296271907,0.0646000950021813,0.9642289348171701,0.5118343195266272,0.8916040100250626,0.8875725613284925,0.899622484913194,0.8905578652895083,0.9812155377861544,0.9729299621215112,0.8922155688622755,0.7846153846153846,0.9930875576036866,0.9285714285714286,0.8796992481203008,0.5856739917487581,0.6086153105298365,0.5968973122990331,0.9074347569683575,0.6710645450328055,0.942189421894219,0.8836565096952909,0.0,17
