Scale,Fold,class_Accuracy,class_Precision,class_Recall,class_F1,class_AUC,class_Uncertainty,stain_Accuracy,stain_Precision,stain_Recall,stain_F1,stain_AUC,stain_Uncertainty,num_epochs_trained
n1,1,0.7869674185463659,0.5191582914572864,0.5002869211014007,0.4432748538011696,0.544411623597144,0.6053632747702777,0.0,0.0,0.0,0.0,0.2820126121876556,3.9602963969237336e-38,46
n1,2,0.7857142857142857,0.5192065491183879,0.5005738422028014,0.44569601793816693,0.5044754988193902,0.5811464175773586,0.0,0.0,0.0,0.0,0.17104790802694253,2.618801538390114e-94,29
n1,3,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5443810500371586,0.5141465740702015,0.0,0.0,0.0,0.0,0.04205483156713952,5.420239868180876e-45,16
n1,4,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5349973189339705,0.5819221477464825,0.0,0.0,0.0,0.0,0.23517982526458386,7.030387824546757e-153,30
n1,5,0.7863408521303258,0.49409176618478945,0.4998894648215915,0.4430698920494839,0.5134241446458642,0.6188581397020305,0.0,0.0,0.0,0.0,0.2913330832624177,5.368252466764834e-64,50
n1_5,1,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5212744941251729,0.44694262158230263,0.0,0.0,0.0,0.0,0.03477940977703006,0.00010656961874035611,16
n1_5,2,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.4915193648225322,0.48360142940147166,0.0,0.0,0.0,0.0,0.03207445482578835,1.6369545059493437e-81,17
n1_5,3,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5210792937037281,0.4997896027732529,0.0,0.0,0.0,0.0,0.03367543801623331,5.527441552362127e-98,18
n1_5,4,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5121565178126265,0.5070478121145976,0.0,0.0,0.0,0.0,0.004579443269766249,3.0713914935727463e-38,19
n1_5,5,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5120342235726851,0.5136954624662475,0.0,0.0,0.0,0.0,0.13224011979457054,2.438149891816999e-56,22
n2,1,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.5054562045512272,0.5304337669757062,0.0,0.0,0.0,0.0,0.09030666199282426,1.0699979189516402e-55,21
n2,2,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.4988382047205577,0.4986890890428554,0.0,0.0,0.0,0.0,0.146290574142839,2.0314347914516064e-59,23
n2,3,0.7882205513784462,0.3941102756892231,0.5,0.44078486334968464,0.4662397343392819,0.4826912800383428,0.0,0.0,0.0,0.0,0.051149083302242715,2.8493995280782457e-61,20
