ImageInput,Augmentation,Scheduler,CriterionWeight,OptimizerType,OptimizerLR,LossFunction,Model,Accuracy_mean,Accuracy_std,Accuracy_var,Precision_mean,Precision_std,Precision_var,Recall_mean,Recall_std,Recall_var,F1_mean,F1_std,F1_var,AUC_mean,AUC_std,AUC_var,Uncertainty_mean,Uncertainty_std,Uncertainty_var
224,none,reduce_on_plateau,equal_weight,Adam,0.0001,CrossEntropyLoss,Resnet50,0.9130853994490359,0.0044206078611242865,1.9541773861833838e-05,0.876560573927134,0.014194292024754576,0.00020147792608401138,0.8400646523288031,0.01778947915768653,0.00031646556870176346,0.8557977820213782,0.008994000497654602,8.089204495181122e-05,0.9449096786575344,0.003481146613593353,1.2118381745332468e-05,0.050470546862436017,0.007169733396256314,5.14050769733931e-05
224,none,reduce_on_plateau,equal_weight,Adam,0.0001,CrossEntropyLoss,Resnet101,0.9101928374655648,0.003288522420471981,1.0814379709946896e-05,0.8698952186909128,0.009484855875304503,8.996249097529836e-05,0.8369441878875842,0.01354548287136551,0.00018348010621845645,0.8515529283834073,0.007090388842549844,5.0273613938555306e-05,0.9429910998092816,0.00796923580730633,6.350871935245337e-05,0.044861364172336896,0.004761842619788948,2.267514513563847e-05
224,none,reduce_on_plateau,equal_weight,Adam,0.0001,CrossEntropyLoss,Densenet121,0.9084022038567493,0.006782959918592329,4.600854525723005e-05,0.8624835120083976,0.016788673145426473,0.00028185954598396407,0.8424264414830454,0.01320972353146703,0.00017449679577779376,0.8513585936502255,0.009584555298019392,9.186370026079158e-05,0.9359498134798306,0.0026380597630804694,6.959359313584182e-06,0.06366506709828218,0.00404087248179438,1.632865041412307e-05
224,none,reduce_on_plateau,equal_weight,Adam,0.0001,ReverseCrossEntropyLoss,Resnet18,0.4315426997245179,0.27984560723427426,0.0783135638883197,0.47886520506373415,0.05294405775759241,0.002803073251839281,0.4951114922813035,0.018197901858925173,0.0003311636320670722,0.3109957055651997,0.13471204049975338,0.018147333855607194,0.4809299619762742,0.06810911817640657,0.004638851978767716,0.0013474510714483361,0.0008344786356664784,6.963545933837872e-07
224,none,reduce_on_plateau,equal_weight,Adam,0.0001,ReverseCrossEntropyLoss,Resnet34,0.48746556473829206,0.29589825858255425,0.08755577943218813,0.3890373612044163,0.17378400014805415,0.030200878707458887,0.503542683731363,0.006918846748843016,4.787044033397557e-05,0.3336901959773849,0.12867413367551067,0.016557032677143188,0.5155741342705322,0.03815681504738099,0.0014559425345600403,0.0010465476531817974,0.0011172559777154027,1.2482609197408006e-06
224,none,reduce_on_plateau,equal_weight,Adam,0.0001,ReverseCrossEntropyLoss,Resnet50,0.5719008264462809,0.31702763425486924,0.10050652088123913,0.4224910408033825,0.039295103616584726,0.0015441051682381299,0.49832431719224174,0.0022987870425205527,5.28442186686039e-06,0.34975620768565063,0.13353610563071003,0.017831891507016147,0.4611678201729659,0.037784009178758494,0.0014276313496205061,0.0014169898958698592,0.0019854316845153677,3.9419389738775305e-06
224,none,reduce_on_plateau,equal_weight,Adam,0.0001,ReverseCrossEntropyLoss,Resnet101,0.30798898071625347,0.20056664391676646,0.04022697865203499,0.34878584439142796,0.22855144872423244,0.05223576471394545,0.5068478691120201,0.011126578565722143,0.0001238007505791874,0.260936545051898,0.15057707540140344,0.022673455636439934,0.5014213916443762,0.0038486612508860847,1.4812193424072042e-05,0.004369287140377495,0.00796137635116437,6.338351340487928e-05
224,none,reduce_on_plateau,equal_weight,Adam,0.0001,ReverseCrossEntropyLoss,Densenet121,0.5634986225895318,0.2600263136590724,0.06761368379512632,0.4513983204501736,0.20591426902664361,0.04240068618877696,0.5097176408497164,0.01061406547861766,0.00011265838598438315,0.406212327628376,0.14317488040147186,0.02049904637797577,0.5208851611510273,0.026886112776459505,0.000722863060228499,0.0003181688786471395,0.0005243087515631868,2.7489966696574754e-07
224,none,reduce_on_plateau,equal_weight,Adam,0.0001,TotalCrossEntropyLoss,Resnet18,0.9074380165289255,0.0023657801704294453,5.596915814797175e-06,0.8717449881326468,0.005626923333782923,3.166226620427072e-05,0.8220345692043806,0.003189617106442744,1.0173657285712182e-05,0.8435247504480422,0.0035793007388404186,1.2811393779063568e-05,0.9303110268804952,0.005527672115065279,3.055515901167026e-05,0.03744561846900061,0.0029587764042098477,8.754357810108956e-06
224,none,reduce_on_plateau,equal_weight,Adam,0.0001,TotalCrossEntropyLoss,Resnet34,0.9099173553719009,0.0024543429312955016,6.0237992244001955e-06,0.873269735971834,0.010095598016176,0.00010192109930421679,0.8307032590051457,0.007844421426256428,6.153494751271093e-05,0.8492886781281286,0.0032387972569830137,1.0489807671840694e-05,0.9285672732070672,0.00483761254413873,2.3402495127208402e-05,0.02658706317620274,0.003924422414384021,1.540109128651971e-05
